priority,stone,guide,url,stone_demand_impr_16mo,intent_demand_impr_16mo,top_stone_query,score
P1,tiger-eye,how-to-identify,/gemstones/tiger-eye/how-to-identify,10026,1,who should not wear tiger eye stone,10034
P1,tiger-eye,price-guide,/gemstones/tiger-eye/price-guide,10026,1,who should not wear tiger eye stone,10034
P2,tiger-eye,combinations,/gemstones/tiger-eye/combinations,10026,0,who should not wear tiger eye stone,10026
P2,tiger-eye,affirmations,/gemstones/tiger-eye/affirmations,10026,0,who should not wear tiger eye stone,10026
P2,rose-quartz,how-to-identify,/gemstones/rose-quartz/how-to-identify,7431,8,rose quartz,7495
P2,rose-quartz,price-guide,/gemstones/rose-quartz/price-guide,7431,3,rose quartz,7455
P2,rose-quartz,combinations,/gemstones/rose-quartz/combinations,7431,0,rose quartz,7431
P2,rose-quartz,affirmations,/gemstones/rose-quartz/affirmations,7431,0,rose quartz,7431
P2,garnet,meaning,/gemstones/garnet/meaning,3986,353,garnet stone side effects,6810
P2,lava-stone,price-guide,/gemstones/lava-stone/price-guide,6162,5,who should not wear lava stone,6202
P2,lava-stone,how-to-cleanse,/gemstones/lava-stone/how-to-cleanse,6162,0,who should not wear lava stone,6162
P2,lava-stone,can-go-in-water,/gemstones/lava-stone/can-go-in-water,6162,0,who should not wear lava stone,6162
P2,lava-stone,sleeping-with,/gemstones/lava-stone/sleeping-with,6162,0,who should not wear lava stone,6162
P2,lava-stone,how-to-identify,/gemstones/lava-stone/how-to-identify,6162,0,who should not wear lava stone,6162
P2,lava-stone,combinations,/gemstones/lava-stone/combinations,6162,0,who should not wear lava stone,6162
P2,lava-stone,affirmations,/gemstones/lava-stone/affirmations,6162,0,who should not wear lava stone,6162
P2,lapis-lazuli,meaning,/gemstones/lapis-lazuli/meaning,5335,18,lapis lazuli negative effects,5479
P2,lapis-lazuli,how-to-cleanse,/gemstones/lapis-lazuli/how-to-cleanse,5335,12,lapis lazuli negative effects,5431
P2,lapis-lazuli,sleeping-with,/gemstones/lapis-lazuli/sleeping-with,5335,0,lapis lazuli negative effects,5335
P2,lapis-lazuli,how-to-identify,/gemstones/lapis-lazuli/how-to-identify,5335,0,lapis lazuli negative effects,5335
P2,lapis-lazuli,price-guide,/gemstones/lapis-lazuli/price-guide,5335,0,lapis lazuli negative effects,5335
P2,lapis-lazuli,combinations,/gemstones/lapis-lazuli/combinations,5335,0,lapis lazuli negative effects,5335
P2,lapis-lazuli,affirmations,/gemstones/lapis-lazuli/affirmations,5335,0,lapis lazuli negative effects,5335
P2,black-tourmaline,who-should-not-wear,/gemstones/black-tourmaline/who-should-not-wear,3249,143,se puede dormir con turmalina negra,4393
P2,black-onyx,how-to-cleanse,/gemstones/black-onyx/how-to-cleanse,3941,28,black onyx stone side effects,4165
P2,peridot,meaning,/gemstones/peridot/meaning,3185,118,पेरिडॉट स्टोन के नुकसान,4129
P2,garnet,how-to-cleanse,/gemstones/garnet/how-to-cleanse,3986,0,garnet stone side effects,3986
P2,garnet,sleeping-with,/gemstones/garnet/sleeping-with,3986,0,garnet stone side effects,3986
P2,garnet,how-to-identify,/gemstones/garnet/how-to-identify,3986,0,garnet stone side effects,3986
P2,garnet,price-guide,/gemstones/garnet/price-guide,3986,0,garnet stone side effects,3986
P2,garnet,combinations,/gemstones/garnet/combinations,3986,0,garnet stone side effects,3986
P2,garnet,affirmations,/gemstones/garnet/affirmations,3986,0,garnet stone side effects,3986
P2,black-onyx,sleeping-with,/gemstones/black-onyx/sleeping-with,3941,0,black onyx stone side effects,3941
P2,black-onyx,how-to-identify,/gemstones/black-onyx/how-to-identify,3941,0,black onyx stone side effects,3941
P2,black-onyx,price-guide,/gemstones/black-onyx/price-guide,3941,0,black onyx stone side effects,3941
P2,black-onyx,combinations,/gemstones/black-onyx/combinations,3941,0,black onyx stone side effects,3941
P2,black-onyx,affirmations,/gemstones/black-onyx/affirmations,3941,0,black onyx stone side effects,3941
P2,aquamarine,meaning,/gemstones/aquamarine/meaning,3503,36,who should not wear aquamarine stone,3791
P2,aquamarine,how-to-cleanse,/gemstones/aquamarine/how-to-cleanse,3503,0,who should not wear aquamarine stone,3503
P2,aquamarine,sleeping-with,/gemstones/aquamarine/sleeping-with,3503,0,who should not wear aquamarine stone,3503
P2,aquamarine,how-to-identify,/gemstones/aquamarine/how-to-identify,3503,0,who should not wear aquamarine stone,3503
P2,aquamarine,price-guide,/gemstones/aquamarine/price-guide,3503,0,who should not wear aquamarine stone,3503
P2,aquamarine,combinations,/gemstones/aquamarine/combinations,3503,0,who should not wear aquamarine stone,3503
P2,aquamarine,affirmations,/gemstones/aquamarine/affirmations,3503,0,who should not wear aquamarine stone,3503
P2,black-tourmaline,how-to-cleanse,/gemstones/black-tourmaline/how-to-cleanse,3249,0,se puede dormir con turmalina negra,3249
P2,black-tourmaline,how-to-identify,/gemstones/black-tourmaline/how-to-identify,3249,0,se puede dormir con turmalina negra,3249
P2,black-tourmaline,price-guide,/gemstones/black-tourmaline/price-guide,3249,0,se puede dormir con turmalina negra,3249
P2,black-tourmaline,combinations,/gemstones/black-tourmaline/combinations,3249,0,se puede dormir con turmalina negra,3249
P2,black-tourmaline,affirmations,/gemstones/black-tourmaline/affirmations,3249,0,se puede dormir con turmalina negra,3249
P2,peridot,price-guide,/gemstones/peridot/price-guide,3185,2,पेरिडॉट स्टोन के नुकसान,3201
P2,peridot,how-to-cleanse,/gemstones/peridot/how-to-cleanse,3185,0,पेरिडॉट स्टोन के नुकसान,3185
P2,peridot,can-go-in-water,/gemstones/peridot/can-go-in-water,3185,0,पेरिडॉट स्टोन के नुकसान,3185
P2,peridot,sleeping-with,/gemstones/peridot/sleeping-with,3185,0,पेरिडॉट स्टोन के नुकसान,3185
P2,peridot,how-to-identify,/gemstones/peridot/how-to-identify,3185,0,पेरिडॉट स्टोन के नुकसान,3185
P2,peridot,combinations,/gemstones/peridot/combinations,3185,0,पेरिडॉट स्टोन के नुकसान,3185
P2,peridot,affirmations,/gemstones/peridot/affirmations,3185,0,पेरिडॉट स्टोन के नुकसान,3185
P2,turquoise,how-to-cleanse,/gemstones/turquoise/how-to-cleanse,2961,0,negative effects of turquoise stone,2961
P2,turquoise,can-go-in-water,/gemstones/turquoise/can-go-in-water,2961,0,negative effects of turquoise stone,2961
P2,turquoise,sleeping-with,/gemstones/turquoise/sleeping-with,2961,0,negative effects of turquoise stone,2961
P2,turquoise,meaning,/gemstones/turquoise/meaning,2961,0,negative effects of turquoise stone,2961
P2,turquoise,how-to-identify,/gemstones/turquoise/how-to-identify,2961,0,negative effects of turquoise stone,2961
P2,turquoise,price-guide,/gemstones/turquoise/price-guide,2961,0,negative effects of turquoise stone,2961
P2,turquoise,combinations,/gemstones/turquoise/combinations,2961,0,negative effects of turquoise stone,2961
P2,turquoise,affirmations,/gemstones/turquoise/affirmations,2961,0,negative effects of turquoise stone,2961
P2,moldavite,how-to-cleanse,/gemstones/moldavite/how-to-cleanse,1060,237,moldavite benefits,2956
P2,black-obsidian,can-go-in-water,/gemstones/black-obsidian/can-go-in-water,321,320,can black obsidian go in water,2881
P2,obsidian,how-to-cleanse,/gemstones/obsidian/how-to-cleanse,558,200,how to cleanse obsidian,2158
P2,aventurine,how-to-cleanse,/gemstones/aventurine/how-to-cleanse,1273,67,green aventurine benefits,1809
P2,larvikite,who-should-not-wear,/gemstones/larvikite/who-should-not-wear,1789,0,larvikite,1789
P2,larvikite,how-to-cleanse,/gemstones/larvikite/how-to-cleanse,1789,0,larvikite,1789
P2,larvikite,can-go-in-water,/gemstones/larvikite/can-go-in-water,1789,0,larvikite,1789
P2,larvikite,sleeping-with,/gemstones/larvikite/sleeping-with,1789,0,larvikite,1789
P3,larvikite,how-to-identify,/gemstones/larvikite/how-to-identify,1789,0,larvikite,1789
P3,larvikite,price-guide,/gemstones/larvikite/price-guide,1789,0,larvikite,1789
P3,larvikite,combinations,/gemstones/larvikite/combinations,1789,0,larvikite,1789
P3,larvikite,affirmations,/gemstones/larvikite/affirmations,1789,0,larvikite,1789
P3,diamond,how-to-identify,/gemstones/diamond/how-to-identify,177,176,kimberlite how to identify a raw diamond,1585
P3,labradorite,who-should-not-wear,/gemstones/labradorite/who-should-not-wear,1527,0,larvikite vs labradorite,1527
P3,labradorite,how-to-cleanse,/gemstones/labradorite/how-to-cleanse,1527,0,larvikite vs labradorite,1527
P3,labradorite,sleeping-with,/gemstones/labradorite/sleeping-with,1527,0,larvikite vs labradorite,1527
P3,labradorite,how-to-identify,/gemstones/labradorite/how-to-identify,1527,0,larvikite vs labradorite,1527
P3,labradorite,price-guide,/gemstones/labradorite/price-guide,1527,0,larvikite vs labradorite,1527
P3,labradorite,combinations,/gemstones/labradorite/combinations,1527,0,larvikite vs labradorite,1527
P3,labradorite,affirmations,/gemstones/labradorite/affirmations,1527,0,larvikite vs labradorite,1527
P3,cats-eye,meaning,/gemstones/cats-eye/meaning,1183,29,who should not wear cats eye stone,1415
P3,opalite,how-to-cleanse,/gemstones/opalite/how-to-cleanse,491,113,opalite,1395
P3,malachite,how-to-cleanse,/gemstones/malachite/how-to-cleanse,425,121,malachite water,1393
P3,aventurine,who-should-not-wear,/gemstones/aventurine/who-should-not-wear,1273,0,green aventurine benefits,1273
P3,aventurine,how-to-identify,/gemstones/aventurine/how-to-identify,1273,0,green aventurine benefits,1273
P3,aventurine,price-guide,/gemstones/aventurine/price-guide,1273,0,green aventurine benefits,1273
P3,aventurine,combinations,/gemstones/aventurine/combinations,1273,0,green aventurine benefits,1273
P3,aventurine,affirmations,/gemstones/aventurine/affirmations,1273,0,green aventurine benefits,1273
P3,lepidolite,how-to-cleanse,/gemstones/lepidolite/how-to-cleanse,224,129,how to cleanse lepidolite,1256
P3,cats-eye,price-guide,/gemstones/cats-eye/price-guide,1183,7,who should not wear cats eye stone,1239
P3,cats-eye,how-to-cleanse,/gemstones/cats-eye/how-to-cleanse,1183,0,who should not wear cats eye stone,1183
P3,cats-eye,can-go-in-water,/gemstones/cats-eye/can-go-in-water,1183,0,who should not wear cats eye stone,1183
P3,cats-eye,sleeping-with,/gemstones/cats-eye/sleeping-with,1183,0,who should not wear cats eye stone,1183
P3,cats-eye,how-to-identify,/gemstones/cats-eye/how-to-identify,1183,0,who should not wear cats eye stone,1183
P3,cats-eye,combinations,/gemstones/cats-eye/combinations,1183,0,who should not wear cats eye stone,1183
P3,cats-eye,affirmations,/gemstones/cats-eye/affirmations,1183,0,who should not wear cats eye stone,1183
P3,citrine,how-to-cleanse,/gemstones/citrine/how-to-cleanse,1145,0,citrine stone side effects,1145
P3,citrine,sleeping-with,/gemstones/citrine/sleeping-with,1145,0,citrine stone side effects,1145
P3,citrine,meaning,/gemstones/citrine/meaning,1145,0,citrine stone side effects,1145
P3,citrine,how-to-identify,/gemstones/citrine/how-to-identify,1145,0,citrine stone side effects,1145
P3,citrine,price-guide,/gemstones/citrine/price-guide,1145,0,citrine stone side effects,1145
P3,citrine,combinations,/gemstones/citrine/combinations,1145,0,citrine stone side effects,1145
P3,citrine,affirmations,/gemstones/citrine/affirmations,1145,0,citrine stone side effects,1145
P3,opal,meaning,/gemstones/opal/meaning,867,25,can aries wear opal,1067
P3,moldavite,who-should-not-wear,/gemstones/moldavite/who-should-not-wear,1060,0,moldavite benefits,1060
P3,moldavite,how-to-identify,/gemstones/moldavite/how-to-identify,1060,0,moldavite benefits,1060
P3,moldavite,price-guide,/gemstones/moldavite/price-guide,1060,0,moldavite benefits,1060
P3,moldavite,combinations,/gemstones/moldavite/combinations,1060,0,moldavite benefits,1060
P3,moldavite,affirmations,/gemstones/moldavite/affirmations,1060,0,moldavite benefits,1060
P3,opal,how-to-cleanse,/gemstones/opal/how-to-cleanse,867,0,can aries wear opal,867
P3,opal,sleeping-with,/gemstones/opal/sleeping-with,867,0,can aries wear opal,867
P3,opal,how-to-identify,/gemstones/opal/how-to-identify,867,0,can aries wear opal,867
P3,opal,price-guide,/gemstones/opal/price-guide,867,0,can aries wear opal,867
P3,opal,combinations,/gemstones/opal/combinations,867,0,can aries wear opal,867
P3,opal,affirmations,/gemstones/opal/affirmations,867,0,can aries wear opal,867
P3,howlite,how-to-cleanse,/gemstones/howlite/how-to-cleanse,216,76,is howlite water safe,824
P3,moss-agate,who-should-not-wear,/gemstones/moss-agate/who-should-not-wear,754,0,tree agate vs moss agate,754
P3,moss-agate,how-to-cleanse,/gemstones/moss-agate/how-to-cleanse,754,0,tree agate vs moss agate,754
P3,moss-agate,sleeping-with,/gemstones/moss-agate/sleeping-with,754,0,tree agate vs moss agate,754
P3,moss-agate,how-to-identify,/gemstones/moss-agate/how-to-identify,754,0,tree agate vs moss agate,754
P3,moss-agate,price-guide,/gemstones/moss-agate/price-guide,754,0,tree agate vs moss agate,754
P3,moss-agate,combinations,/gemstones/moss-agate/combinations,754,0,tree agate vs moss agate,754
P3,moss-agate,affirmations,/gemstones/moss-agate/affirmations,754,0,tree agate vs moss agate,754
P3,obsidian,meaning,/gemstones/obsidian/meaning,558,1,how to cleanse obsidian,566
P3,obsidian,who-should-not-wear,/gemstones/obsidian/who-should-not-wear,558,0,how to cleanse obsidian,558
P3,obsidian,sleeping-with,/gemstones/obsidian/sleeping-with,558,0,how to cleanse obsidian,558
P3,obsidian,how-to-identify,/gemstones/obsidian/how-to-identify,558,0,how to cleanse obsidian,558
P3,obsidian,price-guide,/gemstones/obsidian/price-guide,558,0,how to cleanse obsidian,558
P3,obsidian,combinations,/gemstones/obsidian/combinations,558,0,how to cleanse obsidian,558
P3,obsidian,affirmations,/gemstones/obsidian/affirmations,558,0,how to cleanse obsidian,558
P3,opalite,who-should-not-wear,/gemstones/opalite/who-should-not-wear,491,0,opalite,491
P3,opalite,sleeping-with,/gemstones/opalite/sleeping-with,491,0,opalite,491
P3,opalite,how-to-identify,/gemstones/opalite/how-to-identify,491,0,opalite,491
P3,opalite,price-guide,/gemstones/opalite/price-guide,491,0,opalite,491
P3,opalite,combinations,/gemstones/opalite/combinations,491,0,opalite,491
P3,opalite,affirmations,/gemstones/opalite/affirmations,491,0,opalite,491
P3,moonstone,who-should-not-wear,/gemstones/moonstone/who-should-not-wear,481,0,moonstone meaning,481
P3,moonstone,how-to-cleanse,/gemstones/moonstone/how-to-cleanse,481,0,moonstone meaning,481
P3,moonstone,sleeping-with,/gemstones/moonstone/sleeping-with,481,0,moonstone meaning,481
P3,moonstone,how-to-identify,/gemstones/moonstone/how-to-identify,481,0,moonstone meaning,481
P3,moonstone,price-guide,/gemstones/moonstone/price-guide,481,0,moonstone meaning,481
P3,moonstone,combinations,/gemstones/moonstone/combinations,481,0,moonstone meaning,481
P3,moonstone,affirmations,/gemstones/moonstone/affirmations,481,0,moonstone meaning,481
P3,indian-agate,who-should-not-wear,/gemstones/indian-agate/who-should-not-wear,477,0,indian agate benefits,477
P3,indian-agate,how-to-cleanse,/gemstones/indian-agate/how-to-cleanse,477,0,indian agate benefits,477
P3,indian-agate,can-go-in-water,/gemstones/indian-agate/can-go-in-water,477,0,indian agate benefits,477
P3,indian-agate,sleeping-with,/gemstones/indian-agate/sleeping-with,477,0,indian agate benefits,477
P3,indian-agate,how-to-identify,/gemstones/indian-agate/how-to-identify,477,0,indian agate benefits,477
P3,indian-agate,price-guide,/gemstones/indian-agate/price-guide,477,0,indian agate benefits,477
P3,indian-agate,combinations,/gemstones/indian-agate/combinations,477,0,indian agate benefits,477
P3,indian-agate,affirmations,/gemstones/indian-agate/affirmations,477,0,indian agate benefits,477
P3,malachite,who-should-not-wear,/gemstones/malachite/who-should-not-wear,425,0,malachite water,425
P3,malachite,sleeping-with,/gemstones/malachite/sleeping-with,425,0,malachite water,425
P3,malachite,meaning,/gemstones/malachite/meaning,425,0,malachite water,425
P3,malachite,how-to-identify,/gemstones/malachite/how-to-identify,425,0,malachite water,425
P3,malachite,price-guide,/gemstones/malachite/price-guide,425,0,malachite water,425
P3,malachite,combinations,/gemstones/malachite/combinations,425,0,malachite water,425
P3,malachite,affirmations,/gemstones/malachite/affirmations,425,0,malachite water,425
P3,hematite,who-should-not-wear,/gemstones/hematite/who-should-not-wear,387,0,hematite ring benefits,387
P3,hematite,how-to-cleanse,/gemstones/hematite/how-to-cleanse,387,0,hematite ring benefits,387
P3,hematite,sleeping-with,/gemstones/hematite/sleeping-with,387,0,hematite ring benefits,387
P3,hematite,how-to-identify,/gemstones/hematite/how-to-identify,387,0,hematite ring benefits,387
P3,hematite,price-guide,/gemstones/hematite/price-guide,387,0,hematite ring benefits,387
P3,hematite,combinations,/gemstones/hematite/combinations,387,0,hematite ring benefits,387
P3,hematite,affirmations,/gemstones/hematite/affirmations,387,0,hematite ring benefits,387
P3,black-obsidian,who-should-not-wear,/gemstones/black-obsidian/who-should-not-wear,321,0,can black obsidian go in water,321
P3,black-obsidian,how-to-cleanse,/gemstones/black-obsidian/how-to-cleanse,321,0,can black obsidian go in water,321
P3,black-obsidian,sleeping-with,/gemstones/black-obsidian/sleeping-with,321,0,can black obsidian go in water,321
P3,black-obsidian,how-to-identify,/gemstones/black-obsidian/how-to-identify,321,0,can black obsidian go in water,321
P3,black-obsidian,price-guide,/gemstones/black-obsidian/price-guide,321,0,can black obsidian go in water,321
P3,black-obsidian,combinations,/gemstones/black-obsidian/combinations,321,0,can black obsidian go in water,321
P3,black-obsidian,affirmations,/gemstones/black-obsidian/affirmations,321,0,can black obsidian go in water,321
P3,hematoid-quartz,who-should-not-wear,/gemstones/hematoid-quartz/who-should-not-wear,272,0,hematoid quartz,272
P3,hematoid-quartz,how-to-cleanse,/gemstones/hematoid-quartz/how-to-cleanse,272,0,hematoid quartz,272
P3,hematoid-quartz,can-go-in-water,/gemstones/hematoid-quartz/can-go-in-water,272,0,hematoid quartz,272
P3,hematoid-quartz,sleeping-with,/gemstones/hematoid-quartz/sleeping-with,272,0,hematoid quartz,272
P3,hematoid-quartz,how-to-identify,/gemstones/hematoid-quartz/how-to-identify,272,0,hematoid quartz,272
P3,hematoid-quartz,price-guide,/gemstones/hematoid-quartz/price-guide,272,0,hematoid quartz,272
P3,hematoid-quartz,combinations,/gemstones/hematoid-quartz/combinations,272,0,hematoid quartz,272
P3,hematoid-quartz,affirmations,/gemstones/hematoid-quartz/affirmations,272,0,hematoid quartz,272
P3,enhydro-agate,who-should-not-wear,/gemstones/enhydro-agate/who-should-not-wear,271,0,enhydro agate,271
P3,enhydro-agate,how-to-cleanse,/gemstones/enhydro-agate/how-to-cleanse,271,0,enhydro agate,271
P3,enhydro-agate,can-go-in-water,/gemstones/enhydro-agate/can-go-in-water,271,0,enhydro agate,271
P3,enhydro-agate,sleeping-with,/gemstones/enhydro-agate/sleeping-with,271,0,enhydro agate,271
P3,enhydro-agate,how-to-identify,/gemstones/enhydro-agate/how-to-identify,271,0,enhydro agate,271
P3,enhydro-agate,price-guide,/gemstones/enhydro-agate/price-guide,271,0,enhydro agate,271
P3,enhydro-agate,combinations,/gemstones/enhydro-agate/combinations,271,0,enhydro agate,271
P3,enhydro-agate,affirmations,/gemstones/enhydro-agate/affirmations,271,0,enhydro agate,271
P3,selenite,who-should-not-wear,/gemstones/selenite/who-should-not-wear,269,0,is selenite water safe,269
P3,selenite,how-to-cleanse,/gemstones/selenite/how-to-cleanse,269,0,is selenite water safe,269
P3,selenite,sleeping-with,/gemstones/selenite/sleeping-with,269,0,is selenite water safe,269
P3,selenite,meaning,/gemstones/selenite/meaning,269,0,is selenite water safe,269
P3,selenite,how-to-identify,/gemstones/selenite/how-to-identify,269,0,is selenite water safe,269
P3,selenite,price-guide,/gemstones/selenite/price-guide,269,0,is selenite water safe,269
P3,selenite,combinations,/gemstones/selenite/combinations,269,0,is selenite water safe,269
P3,selenite,affirmations,/gemstones/selenite/affirmations,269,0,is selenite water safe,269
P3,crazy-lace-agate,who-should-not-wear,/gemstones/crazy-lace-agate/who-should-not-wear,266,0,crazy lace agate,266
P3,crazy-lace-agate,how-to-cleanse,/gemstones/crazy-lace-agate/how-to-cleanse,266,0,crazy lace agate,266
P3,crazy-lace-agate,can-go-in-water,/gemstones/crazy-lace-agate/can-go-in-water,266,0,crazy lace agate,266
P3,crazy-lace-agate,sleeping-with,/gemstones/crazy-lace-agate/sleeping-with,266,0,crazy lace agate,266
P3,crazy-lace-agate,how-to-identify,/gemstones/crazy-lace-agate/how-to-identify,266,0,crazy lace agate,266
P3,crazy-lace-agate,price-guide,/gemstones/crazy-lace-agate/price-guide,266,0,crazy lace agate,266
P3,crazy-lace-agate,combinations,/gemstones/crazy-lace-agate/combinations,266,0,crazy lace agate,266
P3,crazy-lace-agate,affirmations,/gemstones/crazy-lace-agate/affirmations,266,0,crazy lace agate,266
P3,green-opal,who-should-not-wear,/gemstones/green-opal/who-should-not-wear,229,0,green opal,229
P3,green-opal,how-to-cleanse,/gemstones/green-opal/how-to-cleanse,229,0,green opal,229
P3,green-opal,can-go-in-water,/gemstones/green-opal/can-go-in-water,229,0,green opal,229
P3,green-opal,sleeping-with,/gemstones/green-opal/sleeping-with,229,0,green opal,229
P3,green-opal,how-to-identify,/gemstones/green-opal/how-to-identify,229,0,green opal,229
P3,green-opal,price-guide,/gemstones/green-opal/price-guide,229,0,green opal,229
P3,green-opal,combinations,/gemstones/green-opal/combinations,229,0,green opal,229
P3,green-opal,affirmations,/gemstones/green-opal/affirmations,229,0,green opal,229
P3,lepidolite,who-should-not-wear,/gemstones/lepidolite/who-should-not-wear,224,0,how to cleanse lepidolite,224
P3,lepidolite,sleeping-with,/gemstones/lepidolite/sleeping-with,224,0,how to cleanse lepidolite,224
P3,lepidolite,how-to-identify,/gemstones/lepidolite/how-to-identify,224,0,how to cleanse lepidolite,224
P3,lepidolite,price-guide,/gemstones/lepidolite/price-guide,224,0,how to cleanse lepidolite,224
P3,lepidolite,combinations,/gemstones/lepidolite/combinations,224,0,how to cleanse lepidolite,224
P3,lepidolite,affirmations,/gemstones/lepidolite/affirmations,224,0,how to cleanse lepidolite,224
P3,howlite,who-should-not-wear,/gemstones/howlite/who-should-not-wear,216,0,is howlite water safe,216
P3,howlite,sleeping-with,/gemstones/howlite/sleeping-with,216,0,is howlite water safe,216
P3,howlite,meaning,/gemstones/howlite/meaning,216,0,is howlite water safe,216
P3,howlite,how-to-identify,/gemstones/howlite/how-to-identify,216,0,is howlite water safe,216
P3,howlite,price-guide,/gemstones/howlite/price-guide,216,0,is howlite water safe,216
P3,howlite,combinations,/gemstones/howlite/combinations,216,0,is howlite water safe,216
P3,howlite,affirmations,/gemstones/howlite/affirmations,216,0,is howlite water safe,216
P3,amazonite,who-should-not-wear,/gemstones/amazonite/who-should-not-wear,185,0,amazonite water safe,185
P3,amazonite,how-to-cleanse,/gemstones/amazonite/how-to-cleanse,185,0,amazonite water safe,185
P3,amazonite,sleeping-with,/gemstones/amazonite/sleeping-with,185,0,amazonite water safe,185
P3,amazonite,meaning,/gemstones/amazonite/meaning,185,0,amazonite water safe,185
P3,amazonite,how-to-identify,/gemstones/amazonite/how-to-identify,185,0,amazonite water safe,185
P3,amazonite,price-guide,/gemstones/amazonite/price-guide,185,0,amazonite water safe,185
P3,amazonite,combinations,/gemstones/amazonite/combinations,185,0,amazonite water safe,185
P3,amazonite,affirmations,/gemstones/amazonite/affirmations,185,0,amazonite water safe,185
P3,diamond,who-should-not-wear,/gemstones/diamond/who-should-not-wear,177,0,kimberlite how to identify a raw diamond,177
P3,diamond,how-to-cleanse,/gemstones/diamond/how-to-cleanse,177,0,kimberlite how to identify a raw diamond,177
P3,diamond,can-go-in-water,/gemstones/diamond/can-go-in-water,177,0,kimberlite how to identify a raw diamond,177
P3,diamond,sleeping-with,/gemstones/diamond/sleeping-with,177,0,kimberlite how to identify a raw diamond,177
P3,diamond,meaning,/gemstones/diamond/meaning,177,0,kimberlite how to identify a raw diamond,177
P3,diamond,price-guide,/gemstones/diamond/price-guide,177,0,kimberlite how to identify a raw diamond,177
P3,diamond,combinations,/gemstones/diamond/combinations,177,0,kimberlite how to identify a raw diamond,177
P3,diamond,affirmations,/gemstones/diamond/affirmations,177,0,kimberlite how to identify a raw diamond,177
P3,fluorite,who-should-not-wear,/gemstones/fluorite/who-should-not-wear,163,0,can fluorite go in water,163
P3,fluorite,how-to-cleanse,/gemstones/fluorite/how-to-cleanse,163,0,can fluorite go in water,163
P3,fluorite,sleeping-with,/gemstones/fluorite/sleeping-with,163,0,can fluorite go in water,163
P3,fluorite,meaning,/gemstones/fluorite/meaning,163,0,can fluorite go in water,163
P3,fluorite,how-to-identify,/gemstones/fluorite/how-to-identify,163,0,can fluorite go in water,163
P3,fluorite,price-guide,/gemstones/fluorite/price-guide,163,0,can fluorite go in water,163
