page_id,url,template,audience,intent_id,main_entities,status,source_date
L-0056,/gemstones/moonstone,gemstone hub,enthusiast/buyer,INT-moonstone-hub,Moonstone,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0057,/gemstones/moss-agate,gemstone hub,enthusiast/buyer,INT-moss-agate-hub,Moss Agate,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0058,/gemstones/obsidian,gemstone hub,enthusiast/buyer,INT-obsidian-hub,Obsidian,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0059,/gemstones/opal,gemstone hub,enthusiast/buyer,INT-opal-hub,Opal,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0060,/gemstones/opalite,gemstone hub,enthusiast/buyer,INT-opalite-hub,Opalite,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0061,/gemstones/peach-moonstone,gemstone hub,enthusiast/buyer,INT-peach-moonstone-hub,Peach Moonstone,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0062,/gemstones/peridot,gemstone hub,enthusiast/buyer,INT-peridot-hub,Peridot,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0063,/gemstones/pink-agate,gemstone hub,enthusiast/buyer,INT-pink-agate-hub,Pink Agate,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0064,/gemstones/pyrite,gemstone hub,enthusiast/buyer,INT-pyrite-hub,Pyrite,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0065,/gemstones/rainbow-hematite,gemstone hub,enthusiast/buyer,INT-rainbow-hematite-hub,Rainbow Hematite,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0066,/gemstones/red-agate,gemstone hub,enthusiast/buyer,INT-red-agate-hub,Red Agate,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0067,/gemstones/red-jasper,gemstone hub,enthusiast/buyer,INT-red-jasper-hub,Red Jasper,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0068,/gemstones/red-tigers-eye,gemstone hub,enthusiast/buyer,INT-red-tigers-eye-hub,Red Tiger's Eye,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0069,/gemstones/rhodonite,gemstone hub,enthusiast/buyer,INT-rhodonite-hub,Rhodonite,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0070,/gemstones/rose-quartz,gemstone hub,enthusiast/buyer,INT-rose-quartz-hub,Rose Quartz,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0071,/gemstones/ruby,gemstone hub,enthusiast/buyer,INT-ruby-hub,Ruby,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0072,/gemstones/ruby-zoisite,gemstone hub,enthusiast/buyer,INT-ruby-zoisite-hub,Ruby Zoisite,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0073,/gemstones/sapphire,gemstone hub,enthusiast/buyer,INT-sapphire-hub,Sapphire,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0074,/gemstones/selenite,gemstone hub,enthusiast/buyer,INT-selenite-hub,Selenite,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0075,/gemstones/smoky-quartz,gemstone hub,enthusiast/buyer,INT-smoky-quartz-hub,Smoky Quartz,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0076,/gemstones/sodalite,gemstone hub,enthusiast/buyer,INT-sodalite-hub,Sodalite,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0077,/gemstones/strawberry-quartz,gemstone hub,enthusiast/buyer,INT-strawberry-quartz-hub,Strawberry Quartz,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0078,/gemstones/sunstone,gemstone hub,enthusiast/buyer,INT-sunstone-hub,Sunstone,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0079,/gemstones/tiger-eye,gemstone hub,enthusiast/buyer,INT-tiger-eye-hub,Tiger Eye,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0080,/gemstones/tortoise-ring,gemstone hub,enthusiast/buyer,INT-tortoise-ring-hub,Tortoise Ring,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0081,/gemstones/tree-agate,gemstone hub,enthusiast/buyer,INT-tree-agate-hub,Tree Agate,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0082,/gemstones/turquoise,gemstone hub,enthusiast/buyer,INT-turquoise-hub,Turquoise,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0083,/gemstones/white-agate,gemstone hub,enthusiast/buyer,INT-white-agate-hub,White Agate,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0084,/gemstones/white-quartz,gemstone hub,enthusiast/buyer,INT-white-quartz-hub,White Quartz,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0085,/gemstones/yellow-calcite,gemstone hub,enthusiast/buyer,INT-yellow-calcite-hub,Yellow Calcite,live; body copy thin for most (out of scope),sitemap 2026-09-17
L-0086,/gemstones/agate/can-go-in-water,gemstone sub-page,enthusiast,INT-agate-can-go-in-water,Agate,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0087,/gemstones/amazonite/can-go-in-water,gemstone sub-page,enthusiast,INT-amazonite-can-go-in-water,Amazonite,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0088,/gemstones/amethyst/can-go-in-water,gemstone sub-page,enthusiast,INT-amethyst-can-go-in-water,Amethyst,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0089,/gemstones/amethyst/meaning,gemstone sub-page,enthusiast,INT-amethyst-meaning,Amethyst,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0090,/gemstones/amethyst/sleeping-with,gemstone sub-page,enthusiast,INT-amethyst-sleeping-with,Amethyst,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0091,/gemstones/amethyst/who-should-not-wear,gemstone sub-page,enthusiast,INT-amethyst-who-should-not-wear,Amethyst,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0092,/gemstones/angel-aura-quartz/meaning,gemstone sub-page,enthusiast,INT-angel-aura-quartz-meaning,Angel Aura Quartz,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0093,/gemstones/aquamarine/can-go-in-water,gemstone sub-page,enthusiast,INT-aquamarine-can-go-in-water,Aquamarine,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0094,/gemstones/aquamarine/who-should-not-wear,gemstone sub-page,enthusiast,INT-aquamarine-who-should-not-wear,Aquamarine,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0095,/gemstones/aventurine/can-go-in-water,gemstone sub-page,enthusiast,INT-aventurine-can-go-in-water,Aventurine,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0096,/gemstones/aventurine/meaning,gemstone sub-page,enthusiast,INT-aventurine-meaning,Aventurine,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0097,/gemstones/aventurine/sleeping-with,gemstone sub-page,enthusiast,INT-aventurine-sleeping-with,Aventurine,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0098,/gemstones/black-agate/meaning,gemstone sub-page,enthusiast,INT-black-agate-meaning,Black Agate,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0099,/gemstones/black-moonstone/meaning,gemstone sub-page,enthusiast,INT-black-moonstone-meaning,Black Moonstone,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0100,/gemstones/black-obsidian/meaning,gemstone sub-page,enthusiast,INT-black-obsidian-meaning,Black Obsidian,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0101,/gemstones/black-onyx/can-go-in-water,gemstone sub-page,enthusiast,INT-black-onyx-can-go-in-water,Black Onyx,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0102,/gemstones/black-onyx/meaning,gemstone sub-page,enthusiast,INT-black-onyx-meaning,Black Onyx,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0103,/gemstones/black-onyx/who-should-not-wear,gemstone sub-page,enthusiast,INT-black-onyx-who-should-not-wear,Black Onyx,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0104,/gemstones/black-tourmaline/can-go-in-water,gemstone sub-page,enthusiast,INT-black-tourmaline-can-go-in-water,Black Tourmaline,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0105,/gemstones/black-tourmaline/meaning,gemstone sub-page,enthusiast,INT-black-tourmaline-meaning,Black Tourmaline,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0106,/gemstones/black-tourmaline/sleeping-with,gemstone sub-page,enthusiast,INT-black-tourmaline-sleeping-with,Black Tourmaline,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0107,/gemstones/blue-lace-agate/can-go-in-water,gemstone sub-page,enthusiast,INT-blue-lace-agate-can-go-in-water,Blue Lace Agate,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0108,/gemstones/blue-lace-agate/meaning,gemstone sub-page,enthusiast,INT-blue-lace-agate-meaning,Blue Lace Agate,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0109,/gemstones/blue-onyx/meaning,gemstone sub-page,enthusiast,INT-blue-onyx-meaning,Blue Onyx,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0110,/gemstones/blue-sandstone/meaning,gemstone sub-page,enthusiast,INT-blue-sandstone-meaning,Blue Sandstone,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0111,/gemstones/blue-tigers-eye/meaning,gemstone sub-page,enthusiast,INT-blue-tigers-eye-meaning,Blue Tiger's Eye,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0112,/gemstones/botswana-agate/meaning,gemstone sub-page,enthusiast,INT-botswana-agate-meaning,Botswana Agate,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0113,/gemstones/brazilian-agate/meaning,gemstone sub-page,enthusiast,INT-brazilian-agate-meaning,Brazilian Agate,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0114,/gemstones/calcite/can-go-in-water,gemstone sub-page,enthusiast,INT-calcite-can-go-in-water,Calcite,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0115,/gemstones/caribbean-calcite/meaning,gemstone sub-page,enthusiast,INT-caribbean-calcite-meaning,Caribbean Calcite,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0116,/gemstones/carnelian/can-go-in-water,gemstone sub-page,enthusiast,INT-carnelian-can-go-in-water,Carnelian,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0117,/gemstones/carnelian-agate/meaning,gemstone sub-page,enthusiast,INT-carnelian-agate-meaning,Carnelian Agate,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0118,/gemstones/cats-eye/who-should-not-wear,gemstone sub-page,enthusiast,INT-cats-eye-who-should-not-wear,Cat's Eye,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0119,/gemstones/cherry-quartz/meaning,gemstone sub-page,enthusiast,INT-cherry-quartz-meaning,Cherry Quartz,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0120,/gemstones/citrine/can-go-in-water,gemstone sub-page,enthusiast,INT-citrine-can-go-in-water,Citrine,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0121,/gemstones/citrine/who-should-not-wear,gemstone sub-page,enthusiast,INT-citrine-who-should-not-wear,Citrine,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0122,/gemstones/clear-quartz/can-go-in-water,gemstone sub-page,enthusiast,INT-clear-quartz-can-go-in-water,Clear Quartz,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0123,/gemstones/crackle-quartz/meaning,gemstone sub-page,enthusiast,INT-crackle-quartz-meaning,Crackle Quartz,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0124,/gemstones/crazy-lace-agate/meaning,gemstone sub-page,enthusiast,INT-crazy-lace-agate-meaning,Crazy Lace Agate,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0125,/gemstones/druzy-quartz/meaning,gemstone sub-page,enthusiast,INT-druzy-quartz-meaning,Druzy Quartz,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0126,/gemstones/emerald/who-should-not-wear,gemstone sub-page,enthusiast,INT-emerald-who-should-not-wear,Emerald,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0127,/gemstones/enhydro-agate/meaning,gemstone sub-page,enthusiast,INT-enhydro-agate-meaning,Enhydro Agate,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0128,/gemstones/fancy-jasper/meaning,gemstone sub-page,enthusiast,INT-fancy-jasper-meaning,Fancy Jasper,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0129,/gemstones/flower-agate/can-go-in-water,gemstone sub-page,enthusiast,INT-flower-agate-can-go-in-water,Flower Agate,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0130,/gemstones/flower-agate/meaning,gemstone sub-page,enthusiast,INT-flower-agate-meaning,Flower Agate,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0131,/gemstones/fluorite/can-go-in-water,gemstone sub-page,enthusiast,INT-fluorite-can-go-in-water,Fluorite,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0132,/gemstones/garden-quartz/meaning,gemstone sub-page,enthusiast,INT-garden-quartz-meaning,Garden Quartz,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0133,/gemstones/garnet/can-go-in-water,gemstone sub-page,enthusiast,INT-garnet-can-go-in-water,Garnet,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0134,/gemstones/garnet/who-should-not-wear,gemstone sub-page,enthusiast,INT-garnet-who-should-not-wear,Garnet,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0135,/gemstones/grape-agate/meaning,gemstone sub-page,enthusiast,INT-grape-agate-meaning,Grape Agate,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0136,/gemstones/green-goldstone/meaning,gemstone sub-page,enthusiast,INT-green-goldstone-meaning,Green Goldstone,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0137,/gemstones/green-opal/meaning,gemstone sub-page,enthusiast,INT-green-opal-meaning,Green Opal,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0138,/gemstones/hematite/can-go-in-water,gemstone sub-page,enthusiast,INT-hematite-can-go-in-water,Hematite,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0139,/gemstones/hematite/meaning,gemstone sub-page,enthusiast,INT-hematite-meaning,Hematite,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0140,/gemstones/hematite-rings/meaning,gemstone sub-page,enthusiast,INT-hematite-rings-meaning,Hematite Rings,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0141,/gemstones/hematoid-quartz/meaning,gemstone sub-page,enthusiast,INT-hematoid-quartz-meaning,Hematoid Quartz,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0142,/gemstones/honey-calcite/meaning,gemstone sub-page,enthusiast,INT-honey-calcite-meaning,Honey Calcite,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0143,/gemstones/howlite/can-go-in-water,gemstone sub-page,enthusiast,INT-howlite-can-go-in-water,Howlite,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0144,/gemstones/indian-agate/meaning,gemstone sub-page,enthusiast,INT-indian-agate-meaning,Indian Agate,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0145,/gemstones/jade/can-go-in-water,gemstone sub-page,enthusiast,INT-jade-can-go-in-water,Jade,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0146,/gemstones/jade/meaning,gemstone sub-page,enthusiast,INT-jade-meaning,Jade,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0147,/gemstones/jade/who-should-not-wear,gemstone sub-page,enthusiast,INT-jade-who-should-not-wear,Jade,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0148,/gemstones/labradorite/can-go-in-water,gemstone sub-page,enthusiast,INT-labradorite-can-go-in-water,Labradorite,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0149,/gemstones/labradorite/meaning,gemstone sub-page,enthusiast,INT-labradorite-meaning,Labradorite,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0150,/gemstones/lapis-lazuli/can-go-in-water,gemstone sub-page,enthusiast,INT-lapis-lazuli-can-go-in-water,Lapis Lazuli,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0151,/gemstones/lapis-lazuli/who-should-not-wear,gemstone sub-page,enthusiast,INT-lapis-lazuli-who-should-not-wear,Lapis Lazuli,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0152,/gemstones/larimar/can-go-in-water,gemstone sub-page,enthusiast,INT-larimar-can-go-in-water,Larimar,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0153,/gemstones/larimar/meaning,gemstone sub-page,enthusiast,INT-larimar-meaning,Larimar,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0154,/gemstones/larvikite/meaning,gemstone sub-page,enthusiast,INT-larvikite-meaning,Larvikite,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0155,/gemstones/lava-stone/meaning,gemstone sub-page,enthusiast,INT-lava-stone-meaning,Lava Stone,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0156,/gemstones/lava-stone/who-should-not-wear,gemstone sub-page,enthusiast,INT-lava-stone-who-should-not-wear,Lava Stone,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0157,/gemstones/lepidolite/can-go-in-water,gemstone sub-page,enthusiast,INT-lepidolite-can-go-in-water,Lepidolite,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0158,/gemstones/lepidolite/meaning,gemstone sub-page,enthusiast,INT-lepidolite-meaning,Lepidolite,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0159,/gemstones/malachite/can-go-in-water,gemstone sub-page,enthusiast,INT-malachite-can-go-in-water,Malachite,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0160,/gemstones/moldavite/can-go-in-water,gemstone sub-page,enthusiast,INT-moldavite-can-go-in-water,Moldavite,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0161,/gemstones/moldavite/meaning,gemstone sub-page,enthusiast,INT-moldavite-meaning,Moldavite,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
L-0162,/gemstones/moldavite/sleeping-with,gemstone sub-page,enthusiast,INT-moldavite-sleeping-with,Moldavite,live (legacy WP text; not redrafted in this pass),sitemap 2026-09-17
