source_page_id,source_url,destination_url,relationship,anchor,current_or_proposed,reason
P-0003,/gemstones/pyrite/price-guide,/gemstones/pyrite,parent,(writer chooses descriptive anchor),proposed,the stone's hub page: full profile and properties
P-0003,/gemstones/pyrite/price-guide,/gemstones/pyrite/how-to-identify,sibling,(writer chooses descriptive anchor),proposed,avoid paying real-stone prices for imitations
P-0003,/gemstones/pyrite/price-guide,/learn/ethical-crystal-sourcing,seed-parent,(writer chooses descriptive anchor),proposed,site-wide guide this stone-specific page specialises
P-0003,/gemstones/pyrite/price-guide,/crystals/crystals-for-money,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0003,/gemstones/pyrite/price-guide,/crystals/crystals-for-confidence,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0003,/gemstones/pyrite/price-guide,/learn/mohs-hardness-scale,lateral,(writer chooses descriptive anchor),proposed,durability affects value
P-0004,/gemstones/pyrite/how-to-identify,/gemstones/pyrite,parent,(writer chooses descriptive anchor),proposed,the stone's hub page: full profile and properties
P-0004,/gemstones/pyrite/how-to-identify,/gemstones/pyrite/price-guide,sibling,(writer chooses descriptive anchor),proposed,price is an identification signal
P-0004,/gemstones/pyrite/how-to-identify,/gemstones/pyrite/meaning,sibling,(writer chooses descriptive anchor),proposed,what genuine material looks like
P-0004,/gemstones/pyrite/how-to-identify,/learn/are-online-crystals-real,seed-parent,(writer chooses descriptive anchor),proposed,site-wide guide this stone-specific page specialises
P-0004,/gemstones/pyrite/how-to-identify,/crystals/crystals-for-money,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0004,/gemstones/pyrite/how-to-identify,/crystals/crystals-for-confidence,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0004,/gemstones/pyrite/how-to-identify,/compare/lab-created-vs-natural-gemstones,lateral,(writer chooses descriptive anchor),proposed,lab-grown vs natural is a distinct question from fake vs real
P-0005,/gemstones/pyrite/sleeping-with,/gemstones/pyrite,parent,(writer chooses descriptive anchor),proposed,the stone's hub page: full profile and properties
P-0005,/gemstones/pyrite/sleeping-with,/gemstones/pyrite/who-should-not-wear,sibling,(writer chooses descriptive anchor),proposed,who should avoid night-time use
P-0005,/gemstones/pyrite/sleeping-with,/gemstones/pyrite/affirmations,sibling,(writer chooses descriptive anchor),proposed,bedtime affirmation routine
P-0005,/gemstones/pyrite/sleeping-with,/crystals/crystals-for-sleep,seed-parent,(writer chooses descriptive anchor),proposed,site-wide guide this stone-specific page specialises
P-0005,/gemstones/pyrite/sleeping-with,/crystals/crystals-for-money,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0005,/gemstones/pyrite/sleeping-with,/crystals/crystals-for-confidence,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0006,/gemstones/pyrite/combinations,/gemstones/pyrite,parent,(writer chooses descriptive anchor),proposed,the stone's hub page: full profile and properties
P-0006,/gemstones/pyrite/combinations,/gemstones/pyrite/meaning,sibling,(writer chooses descriptive anchor),proposed,the stone's own associations
P-0006,/gemstones/pyrite/combinations,/gemstones/pyrite/affirmations,sibling,(writer chooses descriptive anchor),proposed,pairing stones with intention
P-0006,/gemstones/pyrite/combinations,/learn/crystal-grids,seed-parent,(writer chooses descriptive anchor),proposed,site-wide guide this stone-specific page specialises
P-0006,/gemstones/pyrite/combinations,/crystals/crystals-for-money,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0006,/gemstones/pyrite/combinations,/crystals/crystals-for-confidence,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0007,/gemstones/pyrite/affirmations,/gemstones/pyrite,parent,(writer chooses descriptive anchor),proposed,the stone's hub page: full profile and properties
P-0007,/gemstones/pyrite/affirmations,/gemstones/pyrite/meaning,sibling,(writer chooses descriptive anchor),proposed,associations the affirmations draw on
P-0007,/gemstones/pyrite/affirmations,/gemstones/pyrite/combinations,sibling,(writer chooses descriptive anchor),proposed,stones to hold alongside
P-0007,/gemstones/pyrite/affirmations,/learn/how-to-program-crystals,seed-parent,(writer chooses descriptive anchor),proposed,site-wide guide this stone-specific page specialises
P-0007,/gemstones/pyrite/affirmations,/crystals/crystals-for-money,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0007,/gemstones/pyrite/affirmations,/crystals/crystals-for-confidence,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0008,/gemstones/amethyst/how-to-cleanse,/gemstones/amethyst,parent,(writer chooses descriptive anchor),proposed,the stone's hub page: full profile and properties
P-0008,/gemstones/amethyst/how-to-cleanse,/gemstones/amethyst/can-go-in-water,sibling,(writer chooses descriptive anchor),proposed,whether water cleansing is safe for this stone
P-0008,/gemstones/amethyst/how-to-cleanse,/learn/how-to-cleanse-crystals,seed-parent,(writer chooses descriptive anchor),proposed,site-wide guide this stone-specific page specialises
P-0008,/gemstones/amethyst/how-to-cleanse,/crystals/crystals-for-anxiety,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0008,/gemstones/amethyst/how-to-cleanse,/crystals/crystals-for-meditation,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0008,/gemstones/amethyst/how-to-cleanse,/learn/how-to-charge-crystals,next-step,(writer chooses descriptive anchor),proposed,charging follows cleansing
P-0009,/gemstones/amethyst/price-guide,/gemstones/amethyst,parent,(writer chooses descriptive anchor),proposed,the stone's hub page: full profile and properties
P-0009,/gemstones/amethyst/price-guide,/gemstones/amethyst/how-to-identify,sibling,(writer chooses descriptive anchor),proposed,avoid paying real-stone prices for imitations
P-0009,/gemstones/amethyst/price-guide,/learn/ethical-crystal-sourcing,seed-parent,(writer chooses descriptive anchor),proposed,site-wide guide this stone-specific page specialises
P-0009,/gemstones/amethyst/price-guide,/crystals/crystals-for-anxiety,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0009,/gemstones/amethyst/price-guide,/crystals/crystals-for-meditation,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0009,/gemstones/amethyst/price-guide,/learn/mohs-hardness-scale,lateral,(writer chooses descriptive anchor),proposed,durability affects value
P-0010,/gemstones/amethyst/how-to-identify,/gemstones/amethyst,parent,(writer chooses descriptive anchor),proposed,the stone's hub page: full profile and properties
P-0010,/gemstones/amethyst/how-to-identify,/gemstones/amethyst/price-guide,sibling,(writer chooses descriptive anchor),proposed,price is an identification signal
P-0010,/gemstones/amethyst/how-to-identify,/gemstones/amethyst/meaning,sibling,(writer chooses descriptive anchor),proposed,what genuine material looks like
P-0010,/gemstones/amethyst/how-to-identify,/learn/are-online-crystals-real,seed-parent,(writer chooses descriptive anchor),proposed,site-wide guide this stone-specific page specialises
P-0010,/gemstones/amethyst/how-to-identify,/crystals/crystals-for-anxiety,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0010,/gemstones/amethyst/how-to-identify,/crystals/crystals-for-meditation,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0010,/gemstones/amethyst/how-to-identify,/compare/lab-created-vs-natural-gemstones,lateral,(writer chooses descriptive anchor),proposed,lab-grown vs natural is a distinct question from fake vs real
P-0011,/gemstones/amethyst/combinations,/gemstones/amethyst,parent,(writer chooses descriptive anchor),proposed,the stone's hub page: full profile and properties
P-0011,/gemstones/amethyst/combinations,/gemstones/amethyst/meaning,sibling,(writer chooses descriptive anchor),proposed,the stone's own associations
P-0011,/gemstones/amethyst/combinations,/gemstones/amethyst/affirmations,sibling,(writer chooses descriptive anchor),proposed,pairing stones with intention
P-0011,/gemstones/amethyst/combinations,/learn/crystal-grids,seed-parent,(writer chooses descriptive anchor),proposed,site-wide guide this stone-specific page specialises
P-0011,/gemstones/amethyst/combinations,/crystals/crystals-for-anxiety,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0011,/gemstones/amethyst/combinations,/crystals/crystals-for-meditation,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0012,/gemstones/amethyst/affirmations,/gemstones/amethyst,parent,(writer chooses descriptive anchor),proposed,the stone's hub page: full profile and properties
P-0012,/gemstones/amethyst/affirmations,/gemstones/amethyst/meaning,sibling,(writer chooses descriptive anchor),proposed,associations the affirmations draw on
P-0012,/gemstones/amethyst/affirmations,/gemstones/amethyst/combinations,sibling,(writer chooses descriptive anchor),proposed,stones to hold alongside
P-0012,/gemstones/amethyst/affirmations,/learn/how-to-program-crystals,seed-parent,(writer chooses descriptive anchor),proposed,site-wide guide this stone-specific page specialises
P-0012,/gemstones/amethyst/affirmations,/crystals/crystals-for-anxiety,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0012,/gemstones/amethyst/affirmations,/crystals/crystals-for-meditation,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0013,/gemstones/jade/price-guide,/gemstones/jade,parent,(writer chooses descriptive anchor),proposed,the stone's hub page: full profile and properties
P-0013,/gemstones/jade/price-guide,/gemstones/jade/how-to-identify,sibling,(writer chooses descriptive anchor),proposed,avoid paying real-stone prices for imitations
P-0013,/gemstones/jade/price-guide,/learn/ethical-crystal-sourcing,seed-parent,(writer chooses descriptive anchor),proposed,site-wide guide this stone-specific page specialises
P-0013,/gemstones/jade/price-guide,/crystals/crystals-for-money,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0013,/gemstones/jade/price-guide,/crystals/crystals-for-protection,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0013,/gemstones/jade/price-guide,/learn/mohs-hardness-scale,lateral,(writer chooses descriptive anchor),proposed,durability affects value
P-0014,/gemstones/jade/how-to-identify,/gemstones/jade,parent,(writer chooses descriptive anchor),proposed,the stone's hub page: full profile and properties
P-0014,/gemstones/jade/how-to-identify,/gemstones/jade/price-guide,sibling,(writer chooses descriptive anchor),proposed,price is an identification signal
P-0014,/gemstones/jade/how-to-identify,/gemstones/jade/meaning,sibling,(writer chooses descriptive anchor),proposed,what genuine material looks like
P-0014,/gemstones/jade/how-to-identify,/learn/are-online-crystals-real,seed-parent,(writer chooses descriptive anchor),proposed,site-wide guide this stone-specific page specialises
P-0014,/gemstones/jade/how-to-identify,/crystals/crystals-for-money,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0014,/gemstones/jade/how-to-identify,/crystals/crystals-for-protection,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0014,/gemstones/jade/how-to-identify,/compare/lab-created-vs-natural-gemstones,lateral,(writer chooses descriptive anchor),proposed,lab-grown vs natural is a distinct question from fake vs real
P-0015,/gemstones/jade/how-to-cleanse,/gemstones/jade,parent,(writer chooses descriptive anchor),proposed,the stone's hub page: full profile and properties
P-0015,/gemstones/jade/how-to-cleanse,/gemstones/jade/can-go-in-water,sibling,(writer chooses descriptive anchor),proposed,whether water cleansing is safe for this stone
P-0015,/gemstones/jade/how-to-cleanse,/learn/how-to-cleanse-crystals,seed-parent,(writer chooses descriptive anchor),proposed,site-wide guide this stone-specific page specialises
P-0015,/gemstones/jade/how-to-cleanse,/crystals/crystals-for-money,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0015,/gemstones/jade/how-to-cleanse,/crystals/crystals-for-protection,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0015,/gemstones/jade/how-to-cleanse,/learn/how-to-charge-crystals,next-step,(writer chooses descriptive anchor),proposed,charging follows cleansing
P-0016,/gemstones/jade/sleeping-with,/gemstones/jade,parent,(writer chooses descriptive anchor),proposed,the stone's hub page: full profile and properties
P-0016,/gemstones/jade/sleeping-with,/gemstones/jade/who-should-not-wear,sibling,(writer chooses descriptive anchor),proposed,who should avoid night-time use
P-0016,/gemstones/jade/sleeping-with,/gemstones/jade/affirmations,sibling,(writer chooses descriptive anchor),proposed,bedtime affirmation routine
P-0016,/gemstones/jade/sleeping-with,/crystals/crystals-for-sleep,seed-parent,(writer chooses descriptive anchor),proposed,site-wide guide this stone-specific page specialises
P-0016,/gemstones/jade/sleeping-with,/crystals/crystals-for-money,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0016,/gemstones/jade/sleeping-with,/crystals/crystals-for-protection,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0017,/gemstones/jade/combinations,/gemstones/jade,parent,(writer chooses descriptive anchor),proposed,the stone's hub page: full profile and properties
P-0017,/gemstones/jade/combinations,/gemstones/jade/meaning,sibling,(writer chooses descriptive anchor),proposed,the stone's own associations
P-0017,/gemstones/jade/combinations,/gemstones/jade/affirmations,sibling,(writer chooses descriptive anchor),proposed,pairing stones with intention
P-0017,/gemstones/jade/combinations,/learn/crystal-grids,seed-parent,(writer chooses descriptive anchor),proposed,site-wide guide this stone-specific page specialises
P-0017,/gemstones/jade/combinations,/crystals/crystals-for-money,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0017,/gemstones/jade/combinations,/crystals/crystals-for-protection,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0018,/gemstones/jade/affirmations,/gemstones/jade,parent,(writer chooses descriptive anchor),proposed,the stone's hub page: full profile and properties
P-0018,/gemstones/jade/affirmations,/gemstones/jade/meaning,sibling,(writer chooses descriptive anchor),proposed,associations the affirmations draw on
P-0018,/gemstones/jade/affirmations,/gemstones/jade/combinations,sibling,(writer chooses descriptive anchor),proposed,stones to hold alongside
P-0018,/gemstones/jade/affirmations,/learn/how-to-program-crystals,seed-parent,(writer chooses descriptive anchor),proposed,site-wide guide this stone-specific page specialises
P-0018,/gemstones/jade/affirmations,/crystals/crystals-for-money,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0018,/gemstones/jade/affirmations,/crystals/crystals-for-protection,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0019,/gemstones/rose-quartz/how-to-cleanse,/gemstones/rose-quartz,parent,(writer chooses descriptive anchor),proposed,the stone's hub page: full profile and properties
P-0019,/gemstones/rose-quartz/how-to-cleanse,/gemstones/rose-quartz/can-go-in-water,sibling,(writer chooses descriptive anchor),proposed,whether water cleansing is safe for this stone
P-0019,/gemstones/rose-quartz/how-to-cleanse,/learn/how-to-cleanse-crystals,seed-parent,(writer chooses descriptive anchor),proposed,site-wide guide this stone-specific page specialises
P-0019,/gemstones/rose-quartz/how-to-cleanse,/crystals/crystals-for-love,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0019,/gemstones/rose-quartz/how-to-cleanse,/crystals/crystals-for-grief,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0019,/gemstones/rose-quartz/how-to-cleanse,/learn/how-to-charge-crystals,next-step,(writer chooses descriptive anchor),proposed,charging follows cleansing
P-0020,/gemstones/tiger-eye/how-to-cleanse,/gemstones/tiger-eye,parent,(writer chooses descriptive anchor),proposed,the stone's hub page: full profile and properties
P-0020,/gemstones/tiger-eye/how-to-cleanse,/gemstones/tiger-eye/can-go-in-water,sibling,(writer chooses descriptive anchor),proposed,whether water cleansing is safe for this stone
P-0020,/gemstones/tiger-eye/how-to-cleanse,/learn/how-to-cleanse-crystals,seed-parent,(writer chooses descriptive anchor),proposed,site-wide guide this stone-specific page specialises
P-0020,/gemstones/tiger-eye/how-to-cleanse,/crystals/crystals-for-confidence,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0020,/gemstones/tiger-eye/how-to-cleanse,/crystals/crystals-for-confidence,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0020,/gemstones/tiger-eye/how-to-cleanse,/learn/how-to-charge-crystals,next-step,(writer chooses descriptive anchor),proposed,charging follows cleansing
P-0021,/gemstones/tiger-eye/how-to-identify,/gemstones/tiger-eye,parent,(writer chooses descriptive anchor),proposed,the stone's hub page: full profile and properties
P-0021,/gemstones/tiger-eye/how-to-identify,/gemstones/tiger-eye/price-guide,sibling,(writer chooses descriptive anchor),proposed,price is an identification signal
P-0021,/gemstones/tiger-eye/how-to-identify,/gemstones/tiger-eye/meaning,sibling,(writer chooses descriptive anchor),proposed,what genuine material looks like
P-0021,/gemstones/tiger-eye/how-to-identify,/learn/are-online-crystals-real,seed-parent,(writer chooses descriptive anchor),proposed,site-wide guide this stone-specific page specialises
P-0021,/gemstones/tiger-eye/how-to-identify,/crystals/crystals-for-confidence,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0021,/gemstones/tiger-eye/how-to-identify,/crystals/crystals-for-confidence,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0021,/gemstones/tiger-eye/how-to-identify,/compare/lab-created-vs-natural-gemstones,lateral,(writer chooses descriptive anchor),proposed,lab-grown vs natural is a distinct question from fake vs real
P-0022,/gemstones/tiger-eye/price-guide,/gemstones/tiger-eye,parent,(writer chooses descriptive anchor),proposed,the stone's hub page: full profile and properties
P-0022,/gemstones/tiger-eye/price-guide,/gemstones/tiger-eye/how-to-identify,sibling,(writer chooses descriptive anchor),proposed,avoid paying real-stone prices for imitations
P-0022,/gemstones/tiger-eye/price-guide,/learn/ethical-crystal-sourcing,seed-parent,(writer chooses descriptive anchor),proposed,site-wide guide this stone-specific page specialises
P-0022,/gemstones/tiger-eye/price-guide,/crystals/crystals-for-confidence,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0022,/gemstones/tiger-eye/price-guide,/crystals/crystals-for-confidence,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0022,/gemstones/tiger-eye/price-guide,/learn/mohs-hardness-scale,lateral,(writer chooses descriptive anchor),proposed,durability affects value
P-0023,/gemstones/tiger-eye/combinations,/gemstones/tiger-eye,parent,(writer chooses descriptive anchor),proposed,the stone's hub page: full profile and properties
P-0023,/gemstones/tiger-eye/combinations,/gemstones/tiger-eye/meaning,sibling,(writer chooses descriptive anchor),proposed,the stone's own associations
P-0023,/gemstones/tiger-eye/combinations,/gemstones/tiger-eye/affirmations,sibling,(writer chooses descriptive anchor),proposed,pairing stones with intention
P-0023,/gemstones/tiger-eye/combinations,/learn/crystal-grids,seed-parent,(writer chooses descriptive anchor),proposed,site-wide guide this stone-specific page specialises
P-0023,/gemstones/tiger-eye/combinations,/crystals/crystals-for-confidence,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0023,/gemstones/tiger-eye/combinations,/crystals/crystals-for-confidence,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0024,/gemstones/tiger-eye/affirmations,/gemstones/tiger-eye,parent,(writer chooses descriptive anchor),proposed,the stone's hub page: full profile and properties
P-0024,/gemstones/tiger-eye/affirmations,/gemstones/tiger-eye/meaning,sibling,(writer chooses descriptive anchor),proposed,associations the affirmations draw on
P-0024,/gemstones/tiger-eye/affirmations,/gemstones/tiger-eye/combinations,sibling,(writer chooses descriptive anchor),proposed,stones to hold alongside
P-0024,/gemstones/tiger-eye/affirmations,/learn/how-to-program-crystals,seed-parent,(writer chooses descriptive anchor),proposed,site-wide guide this stone-specific page specialises
P-0024,/gemstones/tiger-eye/affirmations,/crystals/crystals-for-confidence,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0024,/gemstones/tiger-eye/affirmations,/crystals/crystals-for-confidence,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0025,/gemstones/rose-quartz/how-to-identify,/gemstones/rose-quartz,parent,(writer chooses descriptive anchor),proposed,the stone's hub page: full profile and properties
P-0025,/gemstones/rose-quartz/how-to-identify,/gemstones/rose-quartz/price-guide,sibling,(writer chooses descriptive anchor),proposed,price is an identification signal
P-0025,/gemstones/rose-quartz/how-to-identify,/gemstones/rose-quartz/meaning,sibling,(writer chooses descriptive anchor),proposed,what genuine material looks like
P-0025,/gemstones/rose-quartz/how-to-identify,/learn/are-online-crystals-real,seed-parent,(writer chooses descriptive anchor),proposed,site-wide guide this stone-specific page specialises
P-0025,/gemstones/rose-quartz/how-to-identify,/crystals/crystals-for-love,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0025,/gemstones/rose-quartz/how-to-identify,/crystals/crystals-for-grief,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0025,/gemstones/rose-quartz/how-to-identify,/compare/lab-created-vs-natural-gemstones,lateral,(writer chooses descriptive anchor),proposed,lab-grown vs natural is a distinct question from fake vs real
P-0026,/gemstones/rose-quartz/price-guide,/gemstones/rose-quartz,parent,(writer chooses descriptive anchor),proposed,the stone's hub page: full profile and properties
P-0026,/gemstones/rose-quartz/price-guide,/gemstones/rose-quartz/how-to-identify,sibling,(writer chooses descriptive anchor),proposed,avoid paying real-stone prices for imitations
P-0026,/gemstones/rose-quartz/price-guide,/learn/ethical-crystal-sourcing,seed-parent,(writer chooses descriptive anchor),proposed,site-wide guide this stone-specific page specialises
P-0026,/gemstones/rose-quartz/price-guide,/crystals/crystals-for-love,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0026,/gemstones/rose-quartz/price-guide,/crystals/crystals-for-grief,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0026,/gemstones/rose-quartz/price-guide,/learn/mohs-hardness-scale,lateral,(writer chooses descriptive anchor),proposed,durability affects value
P-0027,/gemstones/rose-quartz/combinations,/gemstones/rose-quartz,parent,(writer chooses descriptive anchor),proposed,the stone's hub page: full profile and properties
P-0027,/gemstones/rose-quartz/combinations,/gemstones/rose-quartz/meaning,sibling,(writer chooses descriptive anchor),proposed,the stone's own associations
P-0027,/gemstones/rose-quartz/combinations,/gemstones/rose-quartz/affirmations,sibling,(writer chooses descriptive anchor),proposed,pairing stones with intention
P-0027,/gemstones/rose-quartz/combinations,/learn/crystal-grids,seed-parent,(writer chooses descriptive anchor),proposed,site-wide guide this stone-specific page specialises
P-0027,/gemstones/rose-quartz/combinations,/crystals/crystals-for-love,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0027,/gemstones/rose-quartz/combinations,/crystals/crystals-for-grief,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0028,/gemstones/rose-quartz/affirmations,/gemstones/rose-quartz,parent,(writer chooses descriptive anchor),proposed,the stone's hub page: full profile and properties
P-0028,/gemstones/rose-quartz/affirmations,/gemstones/rose-quartz/meaning,sibling,(writer chooses descriptive anchor),proposed,associations the affirmations draw on
P-0028,/gemstones/rose-quartz/affirmations,/gemstones/rose-quartz/combinations,sibling,(writer chooses descriptive anchor),proposed,stones to hold alongside
P-0028,/gemstones/rose-quartz/affirmations,/learn/how-to-program-crystals,seed-parent,(writer chooses descriptive anchor),proposed,site-wide guide this stone-specific page specialises
P-0028,/gemstones/rose-quartz/affirmations,/crystals/crystals-for-love,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0028,/gemstones/rose-quartz/affirmations,/crystals/crystals-for-grief,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0029,/gemstones/garnet/meaning,/gemstones/garnet,parent,(writer chooses descriptive anchor),proposed,the stone's hub page: full profile and properties
P-0029,/gemstones/garnet/meaning,/gemstones/garnet/combinations,sibling,(writer chooses descriptive anchor),proposed,pairing follows meaning
P-0029,/gemstones/garnet/meaning,/gemstones/garnet/affirmations,sibling,(writer chooses descriptive anchor),proposed,using the stone intentionally
P-0029,/gemstones/garnet/meaning,/gemstones/garnet/who-should-not-wear,sibling,(writer chooses descriptive anchor),proposed,cautions before adopting the stone
P-0029,/gemstones/garnet/meaning,/learn/gemstone-vs-crystal-vs-mineral,seed-parent,(writer chooses descriptive anchor),proposed,site-wide guide this stone-specific page specialises
P-0029,/gemstones/garnet/meaning,/crystals/crystals-for-confidence,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0029,/gemstones/garnet/meaning,/crystals/crystals-for-love,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0029,/gemstones/garnet/meaning,/gemstones/zodiac/aries,taxonomy,(writer chooses descriptive anchor),proposed,zodiac filter page
P-0030,/gemstones/lava-stone/price-guide,/gemstones/lava-stone,parent,(writer chooses descriptive anchor),proposed,the stone's hub page: full profile and properties
P-0030,/gemstones/lava-stone/price-guide,/gemstones/lava-stone/how-to-identify,sibling,(writer chooses descriptive anchor),proposed,avoid paying real-stone prices for imitations
P-0030,/gemstones/lava-stone/price-guide,/learn/ethical-crystal-sourcing,seed-parent,(writer chooses descriptive anchor),proposed,site-wide guide this stone-specific page specialises
P-0030,/gemstones/lava-stone/price-guide,/crystals/crystals-for-grounding,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0030,/gemstones/lava-stone/price-guide,/crystals/crystals-for-confidence,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
P-0030,/gemstones/lava-stone/price-guide,/learn/mohs-hardness-scale,lateral,(writer chooses descriptive anchor),proposed,durability affects value
P-0031,/gemstones/lava-stone/how-to-cleanse,/gemstones/lava-stone,parent,(writer chooses descriptive anchor),proposed,the stone's hub page: full profile and properties
P-0031,/gemstones/lava-stone/how-to-cleanse,/gemstones/lava-stone/can-go-in-water,sibling,(writer chooses descriptive anchor),proposed,whether water cleansing is safe for this stone
P-0031,/gemstones/lava-stone/how-to-cleanse,/learn/how-to-cleanse-crystals,seed-parent,(writer chooses descriptive anchor),proposed,site-wide guide this stone-specific page specialises
P-0031,/gemstones/lava-stone/how-to-cleanse,/crystals/crystals-for-grounding,lateral,(writer chooses descriptive anchor),proposed,stone appears in this purpose guide
