url,section,macro,seed,kind,stone,guide,status,priority,frame,title,meta_title,meta_description,words,batch,doc_id,doc_link,redirects,open_evidence_gaps
/angel-numbers/22,angel-numbers,M6 Angel Numbers (outer),S6.1 repeating numbers,article,,,new,LOW,Explanation,Angel Number 22: Meaning & Spiritual Significance,Angel Number 22 Meaning: The Master Builder Number,"Angel number 22 is called the Master Builder in numerology, associated with turning ambitious visions into practical reality. Learn what the tradition holds.",944,batch-103,1ZGnq4-rMe66XxyDEDR_Zg-a9UKjofZ3JRZdIFIG3lWM,https://docs.google.com/document/d/1ZGnq4-rMe66XxyDEDR_Zg-a9UKjofZ3JRZdIFIG3lWM/edit?usp=drivesdk,,Numerological associations are tradition with no empirical basis; cited sources represent the tradition accurately.
/angel-numbers/222,angel-numbers,M6 Angel Numbers (outer),S6.1 repeating numbers,article,,,new,MEDIUM,Explanation,Angel Number 222: Meaning & Spiritual Significance,"Angel Number 222: Meaning, Love & Spiritual Significance","Angel number 222 is associated in spiritual traditions with balance, partnership, and patience. Explore what practitioners believe this sequence signals.",938,batch-101,1_BKfnAUuezH4qqYFyeRGje28AC-PK63d7_OJQwmJmHY,https://docs.google.com/document/d/1_BKfnAUuezH4qqYFyeRGje28AC-PK63d7_OJQwmJmHY/edit?usp=drivesdk,,"Angel number meanings are spiritual tradition, not empirical claims; no primary scientific or historical religious sources exist for this concept."
/angel-numbers/300,angel-numbers,M6 Angel Numbers (outer),S6.2 mixed sequences,article,,,new,LOW,Explanation,Angel Number 300: Meaning & Spiritual Significance,"Angel Number 300: Meaning, Love & Spiritual Significance","Angel number 300 is associated in numerological tradition with creativity, expression, and spiritual expansion. Learn what practitioners believe it signals.",1055,batch-105,1P0ZyQGjE0bOByievLJDamC9MVXafWG38Otq1NfKUK6Q,https://docs.google.com/document/d/1P0ZyQGjE0bOByievLJDamC9MVXafWG38Otq1NfKUK6Q/edit?usp=drivesdk,,"Angel number meanings are spiritual tradition, not empirical claims; the framework originates in modern New Age numerology popularized from the 1990s onward; no primary scientific sources exist for these associations."
/angel-numbers/33,angel-numbers,M6 Angel Numbers (outer),S6.1 repeating numbers,article,,,new,LOW,Explanation,Angel Number 33: Meaning & Spiritual Significance,Angel Number 33 Meaning: Compassion & the Master Teacher,"Angel number 33 is called the Master Teacher in numerology, associated with compassion, nurturing, and service to others. Learn what the tradition holds.",974,batch-103,1nwPJaBLMY0dq3IxYYSGUD1mX8sGlsrSCE5iJbxusQJA,https://docs.google.com/document/d/1nwPJaBLMY0dq3IxYYSGUD1mX8sGlsrSCE5iJbxusQJA/edit?usp=drivesdk,,Numerological associations are tradition with no empirical basis; cited sources represent the tradition accurately.
/angel-numbers/333,angel-numbers,M6 Angel Numbers (outer),S6.1 repeating numbers,article,,,new,MEDIUM,Explanation,Angel Number 333: Meaning & Spiritual Significance,"Angel Number 333: Meaning, Love & Spiritual Significance","Angel number 333 is associated in spiritual traditions with creativity, growth, and self-expression. Explore what practitioners believe this sequence signals.",923,batch-101,1SRgoDvEQDVaBG_9EPbhwkD_bB2fyTd43h4WgDMZHohA,https://docs.google.com/document/d/1SRgoDvEQDVaBG_9EPbhwkD_bB2fyTd43h4WgDMZHohA/edit?usp=drivesdk,,"Angel number meanings are spiritual tradition, not empirical claims; no primary scientific or historical religious sources exist for this concept."
/angel-numbers/400,angel-numbers,M6 Angel Numbers (outer),S6.2 mixed sequences,article,,,new,LOW,Explanation,Angel Number 400: Meaning & Spiritual Significance,"Angel Number 400: Meaning, Love & Spiritual Significance","Angel number 400 is associated in numerological tradition with stability, groundedness, and diligent effort. Learn what practitioners believe it signals.",1104,batch-105,1BwwwKSUnLkEqWxiq9Wm1BDxvqWihqfsBb8-MT2PqyoM,https://docs.google.com/document/d/1BwwwKSUnLkEqWxiq9Wm1BDxvqWihqfsBb8-MT2PqyoM/edit?usp=drivesdk,,"Angel number meanings are spiritual tradition, not empirical claims; the framework originates in modern New Age numerology popularized from the 1990s onward; no primary scientific sources exist for these associations."
/angel-numbers/44,angel-numbers,M6 Angel Numbers (outer),S6.1 repeating numbers,article,,,new,LOW,Explanation,Angel Number 44: Meaning & Spiritual Significance,"Angel Number 44 Meaning: Stability, Effort & Foundation","Angel number 44 is associated in numerology with discipline, building solid foundations, and the rewards of sustained effort. Learn what the tradition holds.",978,batch-103,17T6y2H8bO_3bUNdZ9nEs2gR_SrUi-IUR6jUF2NfLZBA,https://docs.google.com/document/d/17T6y2H8bO_3bUNdZ9nEs2gR_SrUi-IUR6jUF2NfLZBA/edit?usp=drivesdk,,Whether 44 qualifies as a master number varies by numerological tradition; both interpretations are noted in the draft.
/angel-numbers/444,angel-numbers,M6 Angel Numbers (outer),S6.1 repeating numbers,article,,,new,MEDIUM,Explanation,Angel Number 444: Meaning & Spiritual Significance,"Angel Number 444: Meaning, Love & Spiritual Significance","Angel number 444 is associated in spiritual traditions with stability, protection, and grounded effort. Explore what practitioners believe this sequence signals.",1079,batch-101,1IG5XVMAE2z5liIWVUkoFjhp4HBbFcBwa6DjcmWyZOeE,https://docs.google.com/document/d/1IG5XVMAE2z5liIWVUkoFjhp4HBbFcBwa6DjcmWyZOeE/edit?usp=drivesdk,,"Angel number meanings are spiritual tradition, not empirical claims; no primary scientific or historical religious sources exist for this concept."
/angel-numbers/500,angel-numbers,M6 Angel Numbers (outer),S6.2 mixed sequences,article,,,new,LOW,Explanation,Angel Number 500: Meaning & Spiritual Significance,"Angel Number 500: Meaning, Love & Spiritual Significance","Angel number 500 is associated in numerological tradition with significant change, personal freedom, and transformation. Learn what practitioners believe it signals.",1135,batch-105,18Yfy73YVk1uBt1StEXSBwlHJ1MrLM2e0TpqY02Jl1oM,https://docs.google.com/document/d/18Yfy73YVk1uBt1StEXSBwlHJ1MrLM2e0TpqY02Jl1oM/edit?usp=drivesdk,,"Angel number meanings are spiritual tradition, not empirical claims; the framework originates in modern New Age numerology popularized from the 1990s onward; no primary scientific sources exist for these associations."
/angel-numbers/55,angel-numbers,M6 Angel Numbers (outer),S6.1 repeating numbers,article,,,new,LOW,Explanation,Angel Number 55: Meaning & Spiritual Significance,"Angel Number 55 Meaning: Change, Freedom & Transition","Angel number 55 is associated in numerology with major life change, freedom, and adaptability. Learn what the tradition holds about this amplified number.",1012,batch-103,1kUJ-SorSr-6uMxV-v36C5pvsRjHgH8Is74NyOCsZpYc,https://docs.google.com/document/d/1kUJ-SorSr-6uMxV-v36C5pvsRjHgH8Is74NyOCsZpYc/edit?usp=drivesdk,,Whether 55 is treated as a master number depends on the tradition; this is noted clearly in the draft.
/angel-numbers/555,angel-numbers,M6 Angel Numbers (outer),S6.1 repeating numbers,article,,,new,MEDIUM,Explanation,"Angel Number 555: Meaning, Change & Spiritual Significance",Angel Number 555 Meaning: Numerology & Life Contexts,"In angel number tradition, 555 is associated with significant change and personal freedom. Learn its numerological meaning in love, career, and spiritual practice.",985,batch-102,1qLKrxX0sYmwbUjclmMLbEPSYJzo1MDkRrnobpKH4_TQ,https://docs.google.com/document/d/1qLKrxX0sYmwbUjclmMLbEPSYJzo1MDkRrnobpKH4_TQ/edit?usp=drivesdk,,No peer-reviewed evidence exists linking angel numbers to predictable life outcomes; associations are tradition only.
/angel-numbers/66,angel-numbers,M6 Angel Numbers (outer),S6.1 repeating numbers,article,,,new,LOW,Explanation,Angel Number 66: Meaning & Spiritual Significance,"Angel Number 66 Meaning: Harmony, Home & Heart","Angel number 66 is associated in numerology with family, emotional harmony, and nurturing relationships. Learn what the tradition holds about this number.",967,batch-103,1xZ1tOVxMzujNmVMn_oQo7fMQCRhf-kGFeo1FuP9YR_Y,https://docs.google.com/document/d/1xZ1tOVxMzujNmVMn_oQo7fMQCRhf-kGFeo1FuP9YR_Y/edit?usp=drivesdk,,Numerological associations are tradition with no empirical basis; cited sources represent the tradition accurately.
/angel-numbers/666,angel-numbers,M6 Angel Numbers (outer),S6.1 repeating numbers,article,,,new,LOW,Explanation,"Angel Number 666: Meaning, Balance & Spiritual Significance",Angel Number 666 Meaning: Numerology & Life Contexts,"In numerology, 666 is associated with balance, compassion, and home life — not the fearful cultural connotations. Learn its meaning in love, career, and spirituality.",961,batch-102,13TkYCBuV2PAubCdpHYgjfWTsTvHfw9JxtxPcLUCHZxE,https://docs.google.com/document/d/13TkYCBuV2PAubCdpHYgjfWTsTvHfw9JxtxPcLUCHZxE/edit?usp=drivesdk,,"No peer-reviewed evidence supports angel number frameworks as predictive systems; cultural fear associations with 666 are religious/literary in origin, not numerological."
/angel-numbers/77,angel-numbers,M6 Angel Numbers (outer),S6.1 repeating numbers,article,,,new,LOW,Explanation,Angel Number 77: Meaning & Spiritual Significance,Angel Number 77 Meaning: Inner Wisdom & Spiritual Inquiry,"Angel number 77 is associated in numerology with deep spiritual inquiry, inner wisdom, and meaningful synchronicity. Learn what the tradition holds.",1068,batch-103,1H4fxorzpZUnODwiEEdw8ODDoglmb4B1M9oQdQp9udFo,https://docs.google.com/document/d/1H4fxorzpZUnODwiEEdw8ODDoglmb4B1M9oQdQp9udFo/edit?usp=drivesdk,,Numerological associations are tradition with no empirical basis; cited sources represent the tradition accurately.
/angel-numbers/777,angel-numbers,M6 Angel Numbers (outer),S6.1 repeating numbers,article,,,new,MEDIUM,Explanation,"Angel Number 777: Meaning, Wisdom & Spiritual Significance",Angel Number 777 Meaning: Numerology & Life Contexts,"In angel number tradition, 777 is associated with spiritual alignment and inner wisdom. Learn its numerological construction and meaning in love, career, and spirit.",962,batch-102,1LDn5NVSDY9LPDxXnVU4NZpkM8DxWXWguQcWkQkTpaWs,https://docs.google.com/document/d/1LDn5NVSDY9LPDxXnVU4NZpkM8DxWXWguQcWkQkTpaWs/edit?usp=drivesdk,,No peer-reviewed evidence supports angel number frameworks as predictive systems; associations are tradition only.
/angel-numbers/88,angel-numbers,M6 Angel Numbers (outer),S6.1 repeating numbers,article,,,new,LOW,Explanation,"Angel Number 88: Meaning, Love & Spiritual Significance",Angel Number 88 Meaning: Numerology & Significance,"Angel number 88 is linked in numerology to abundance, material balance, and karmic cycles. Learn the numerological construction and what people believe it signals.",1087,batch-104,1iHzigHblyyW9ojfqWPHzznRF9BGqgEvDBWU6h2-kveE,https://docs.google.com/document/d/1iHzigHblyyW9ojfqWPHzznRF9BGqgEvDBWU6h2-kveE/edit?usp=drivesdk,,none
/angel-numbers/888,angel-numbers,M6 Angel Numbers (outer),S6.1 repeating numbers,article,,,new,LOW,Explanation,"Angel Number 888: Meaning, Abundance & Spiritual Significance",Angel Number 888 Meaning: Numerology & Life Contexts,"In angel number tradition, 888 is associated with abundance and material reciprocity. Learn its numerological construction and meaning in love, career, and spirituality.",1039,batch-102,1n12DPPWTxPFeRPJvozkrg0Nrgwt0VhN6VR_gLth3TD8,https://docs.google.com/document/d/1n12DPPWTxPFeRPJvozkrg0Nrgwt0VhN6VR_gLth3TD8/edit?usp=drivesdk,,No peer-reviewed evidence supports angel number frameworks as predictive systems; abundance associations are tradition only.
/angel-numbers/911,angel-numbers,M6 Angel Numbers (outer),S6.2 mixed sequences,article,,,new,LOW,Explanation,Angel Number 911: Meaning & Spiritual Significance,"Angel Number 911: Meaning, Love & Spiritual Significance",Angel number 911 is associated in numerological tradition with completion and spiritual leadership. This page also addresses the emergency-number association plainly.,1379,batch-105,1f1jR6b9OaB0Zd9tSJF3xSYi10FBKxOvlIy_AuBC7tlg,https://docs.google.com/document/d/1f1jR6b9OaB0Zd9tSJF3xSYi10FBKxOvlIy_AuBC7tlg/edit?usp=drivesdk,,"Angel number meanings are spiritual tradition, not empirical claims; the framework originates in modern New Age numerology popularized from the 1990s onward; no primary scientific sources exist for these associations."
/angel-numbers/99,angel-numbers,M6 Angel Numbers (outer),S6.1 repeating numbers,article,,,new,LOW,Explanation,"Angel Number 99: Meaning, Love & Spiritual Significance",Angel Number 99 Meaning: Numerology & Significance,"Angel number 99 is linked in numerology to completion, humanitarian purpose, and spiritual wisdom. Learn the numerological basis and common interpretations.",1129,batch-104,1CGXjCAij1TSVP8Sj1ciMahTXnZl1tv6BxJWJcFow7Io,https://docs.google.com/document/d/1CGXjCAij1TSVP8Sj1ciMahTXnZl1tv6BxJWJcFow7Io/edit?usp=drivesdk,,none
/angel-numbers/999,angel-numbers,M6 Angel Numbers (outer),S6.1 repeating numbers,article,,,new,LOW,Explanation,"Angel Number 999: Meaning, Completion & Spiritual Significance",Angel Number 999 Meaning: Numerology & Life Contexts,"In angel number tradition, 999 is associated with completion and cycle endings. Learn its numerological construction and meaning in love, career, and spiritual practice.",1093,batch-102,1uiQOsysHLgat6VVkwEGbkJdWQLEM2tqJCPsXkvEL7ak,https://docs.google.com/document/d/1uiQOsysHLgat6VVkwEGbkJdWQLEM2tqJCPsXkvEL7ak/edit?usp=drivesdk,,No peer-reviewed evidence supports angel number frameworks as predictive systems; associations are tradition only.
/compare/black-tourmaline-vs-obsidian,compare,"M4 Gemstone Science, Identification and Buying",S4.1 comparisons,article,,,rewrite,LOW,Comparison,Black Tourmaline vs Obsidian: Key Differences,Black Tourmaline vs Obsidian: Key Differences,"Black tourmaline (Mohs 7–7.5) is a crystalline mineral; obsidian (Mohs 5–5.5) is volcanic glass. Both are black but differ in hardness, fracture, and durability.",974,batch-100,1jiAQn-A8YxuJlumz58Uc-yuso-SMZ22PWG6Y9zehPcI,https://docs.google.com/document/d/1jiAQn-A8YxuJlumz58Uc-yuso-SMZ22PWG6Y9zehPcI/edit?usp=drivesdk,,none
/compare/citrine-vs-yellow-topaz,compare,"M4 Gemstone Science, Identification and Buying",S4.1 comparisons,article,,,new,LOW,Comparison,Citrine vs Yellow Topaz: How to Tell Them Apart,Citrine vs Yellow Topaz: Key Differences,"Citrine is quartz (Mohs 7); yellow topaz is aluminum fluorosilicate (Mohs 8). Colors overlap completely, but refractive index and specific gravity separate them reliably.",1025,batch-100,15vKsIycEaKVS4NWkCrbsiDHDSm_Au82kI7Le2bhnyKs,https://docs.google.com/document/d/15vKsIycEaKVS4NWkCrbsiDHDSm_Au82kI7Le2bhnyKs/edit?usp=drivesdk,,"Much of the citrine sold commercially is heat-treated amethyst; prevalence figure is not precisely quantifiable from public sources, but GIA notes heat treatment is common in the trade."
/compare/lab-created-vs-natural-gemstones,compare,"M4 Gemstone Science, Identification and Buying",S4.1 comparisons,article,,,new,LOW,Comparison,Lab-Created vs Natural Gemstones: Key Differences,Lab-Created vs Natural Gemstones: What to Know,"Lab-created gems share the same chemistry and crystal structure as natural ones but cost much less. They differ in origin, price, detectability, and ethical trade-offs.",1120,batch-100,16kdLtP8itNkpZJIoTfARFXtNAz4XUEymbzRu6XQ-l5Y,https://docs.google.com/document/d/16kdLtP8itNkpZJIoTfARFXtNAz4XUEymbzRu6XQ-l5Y/edit?usp=drivesdk,,"Retail price premium for natural vs. lab-created varies substantially by gem type, grade, and market conditions; price ranges current as of September 2026 are illustrative — exact figures change with supply."
/compare/larvikite-vs-labradorite,compare,"M4 Gemstone Science, Identification and Buying",S4.1 comparisons,article,,,rewrite,LOW,Comparison,Larvikite vs Labradorite: Key Differences Explained,Larvikite vs Labradorite: Differences & Comparison,"Larvikite is a Norwegian igneous rock; labradorite is a feldspar mineral. Both show labradorescence but differ in structure, origin, and gem use. How to tell them apart.",878,batch-100,1_USepxt0boiSWDI4T60iRIO_3ELJya0PdftJ4iisBOo,https://docs.google.com/document/d/1_USepxt0boiSWDI4T60iRIO_3ELJya0PdftJ4iisBOo/edit?usp=drivesdk,,Mohs hardness of larvikite as a whole rock is not standardized — depends on proportion of feldspar vs. other minerals; estimate 6–6.5 based on dominant feldspar component.
/compare/moonstone-vs-opal,compare,"M4 Gemstone Science, Identification and Buying",S4.1 comparisons,article,,,new,LOW,Comparison,Moonstone vs Opal: Key Differences Explained,"Moonstone vs Opal: Properties, Optical Effects & Which to Buy","Moonstone and opal both show internal light effects but work by different mechanisms. Compare their hardness, composition, care requirements, and price.",1314,batch-101,1pKYrgIFKESx5VK6qUUXw9ZRksYfaUovh654WZHms4MM,https://docs.google.com/document/d/1pKYrgIFKESx5VK6qUUXw9ZRksYfaUovh654WZHms4MM/edit?usp=drivesdk,,Retail price ranges described qualitatively; not verified against current (September 2026) primary retail sources.
/compare/purple-quartz-vs-amethyst,compare,"M4 Gemstone Science, Identification and Buying",S4.1 comparisons,article,,,rewrite,LOW,Comparison,Amethyst vs Purple Quartz: Are They the Same?,Amethyst vs Purple Quartz: Key Differences,"Amethyst is the mineralogically specific name for purple quartz. Learn what sets gem-quality amethyst apart, how color forms, and what else is sold as purple quartz.",826,batch-100,1agPVoJcRluyIhrgR-nGx8bbtYw01s1HNYF4DaEKzcoA,https://docs.google.com/document/d/1agPVoJcRluyIhrgR-nGx8bbtYw01s1HNYF4DaEKzcoA/edit?usp=drivesdk,,none
/compare/rose-quartz-vs-pink-quartz,compare,"M4 Gemstone Science, Identification and Buying",S4.1 comparisons,article,,,new,LOW,Comparison,Rose Quartz vs Pink Quartz: What Is the Difference?,Rose Quartz vs Pink Quartz: Key Differences,Rose quartz is translucent massive SiO2 colored by nanofibers; pink quartz forms rare transparent euhedral crystals with a different color mechanism. Both are Mohs 7.,919,batch-100,1CVoJspEn9oFRfR56LfgCAXVvs4H1irB-gAz9q5uIGQs,https://docs.google.com/document/d/1CVoJspEn9oFRfR56LfgCAXVvs4H1irB-gAz9q5uIGQs/edit?usp=drivesdk,,The exact mineral identity of the color-causing nanofibers in rose quartz remains technically unresolved — Goreva et al. (2001) confirmed dumortierite-related structure but noted FTIR/Raman spectra do not exactly match standard dumortierite; described as a closely related material.
/compare/ruby-vs-garnet,compare,"M4 Gemstone Science, Identification and Buying",S4.1 comparisons,article,,,new,LOW,Comparison,Ruby vs Garnet: Key Differences Explained,Ruby vs Garnet: Key Differences & How to Tell Them Apart,"Ruby and garnet share a red color but differ in hardness, chemistry, rarity, and price. Compare their properties side by side and learn to tell them apart.",1167,batch-101,1uPWs8oBLfXNnjqcFUXwDteqZg43mrXQwQszVlHHkLdQ,https://docs.google.com/document/d/1uPWs8oBLfXNnjqcFUXwDteqZg43mrXQwQszVlHHkLdQ/edit?usp=drivesdk,,Retail price ranges not verified against current (September 2026) primary retail sources; described qualitatively with price drivers instead.
/compare/sapphire-vs-tanzanite,compare,"M4 Gemstone Science, Identification and Buying",S4.1 comparisons,article,,,new,LOW,Comparison,Sapphire vs Tanzanite: Key Differences Explained,"Sapphire vs Tanzanite: Properties, Price & Which to Buy","Sapphire and tanzanite both appear blue-violet but differ in hardness, origin, durability, and price. Compare their properties and find out which suits your needs.",1118,batch-101,1qEUsBGjoDFqm7nb5fY1aNF_ORZm7u3mT3EovBbldkL0,https://docs.google.com/document/d/1qEUsBGjoDFqm7nb5fY1aNF_ORZm7u3mT3EovBbldkL0/edit?usp=drivesdk,,Tanzanite does not have a hub page in the site inventory so it was not linked to a hub. Retail price ranges described qualitatively; not verified against current (September 2026) primary retail sources.
/compare/tree-agate-vs-moss-agate,compare,"M4 Gemstone Science, Identification and Buying",S4.1 comparisons,article,,,rewrite,LOW,Comparison,Tree Agate vs Moss Agate: Key Differences,Tree Agate vs Moss Agate: Differences & Comparison,Tree agate is opaque with manganese dendrites in surface fissures; moss agate is translucent with chlorite inclusions locked inside. Transparency is the fastest test.,918,batch-100,1LlMiqLQX-9QbNTV4NK1M4j3jZ2zq3RPhGkM3M9DQOAg,https://docs.google.com/document/d/1LlMiqLQX-9QbNTV4NK1M4j3jZ2zq3RPhGkM3M9DQOAg/edit?usp=drivesdk,,"Specific inclusion mineral in tree agate dendrites varies by locality (manganese oxide, iron oxide, or both); no single authoritative source resolves the exact ratio across all commercial material."
/crystals/amazonite-and-rose-quartz-together,crystals,M5 Crystal Combinations,S5.amazonite,article,,,new,MEDIUM,Evaluation,Amazonite and Rose Quartz Together: Meaning & Benefits,Amazonite and Rose Quartz Together: Meaning & Benefits,"Amazonite and rose quartz are paired for heart-centered communication and self-love. Learn hardness, water safety, and how to use and store this pair safely.",914,batch-093,1eS3zLqj-4QRZmYMo079LaZqGzhu6xcYZDh3bWN2Pq_Y,https://docs.google.com/document/d/1eS3zLqj-4QRZmYMo079LaZqGzhu6xcYZDh3bWN2Pq_Y/edit?usp=drivesdk,,Amazonite color-fading rate in direct sunlight not quantified in primary sources reviewed. Exact Mohs for amazonite/microcline is 6.0–6.5; some sources cite 6.5.
/crystals/amethyst-and-clear-quartz-together,crystals,M5 Crystal Combinations,S5.amethyst,article,,,new,MEDIUM,Evaluation,Amethyst and Clear Quartz Together: Meaning & Benefits,Amethyst and Clear Quartz Together: Meaning & Uses,"Amethyst and clear quartz are paired in crystal tradition to combine calm and intuition with amplification. Learn the physical facts, goals, and how to use them together.",731,batch-091,1nCx3XMTAp-XNQkLtXWUn_yOPAdNReLVSjRRMQUzVURE,https://docs.google.com/document/d/1nCx3XMTAp-XNQkLtXWUn_yOPAdNReLVSjRRMQUzVURE/edit?usp=drivesdk,,Retail evidence for herkimer diamond hub URL not in known_urls; no open gaps for this pair
