page_id,url,level,macro,seed,intent_id,frame,question,stone,status,priority,decision,drive_folder
P-0037,/gemstones/lapis-lazuli/meaning,Node,M1 Stone Atlas,S1.1 meaning,INT-lapis-lazuli-meaning,Explanation,"What does Lapis Lazuli mean, what is it, and what is it traditionally used for?",lapis-lazuli,new,P2,draft,6 Gemstone Sub-pages
P-0038,/gemstones/lapis-lazuli/how-to-cleanse,Node,M1 Stone Atlas,S1.6 how-to-cleanse,INT-lapis-lazuli-how-to-cleanse,Instruction,How do I cleanse and recharge Lapis Lazuli without damaging it?,lapis-lazuli,new,P2,draft,6 Gemstone Sub-pages
P-0039,/gemstones/lapis-lazuli/sleeping-with,Node,M1 Stone Atlas,S1.5 sleeping-with,INT-lapis-lazuli-sleeping-with,Explanation,"Is it sensible to sleep with Lapis Lazuli under the pillow or by the bed, and how is it done?",lapis-lazuli,new,P2,draft,6 Gemstone Sub-pages
P-0040,/gemstones/lapis-lazuli/how-to-identify,Node,M1 Stone Atlas,S1.4 how-to-identify,INT-lapis-lazuli-how-to-identify,Instruction,"How do I tell real Lapis Lazuli from fakes, glass, dyed or imitation material?",lapis-lazuli,new,P2,draft,6 Gemstone Sub-pages
P-0041,/gemstones/lapis-lazuli/price-guide,Node,M1 Stone Atlas,S1.9 price-guide,INT-lapis-lazuli-price-guide,Explanation,"How much does Lapis Lazuli cost, what drives its price, and how do I avoid overpaying?",lapis-lazuli,new,P2,draft,6 Gemstone Sub-pages
P-0042,/gemstones/lapis-lazuli/combinations,Node,M1 Stone Atlas,S1.7 combinations,INT-lapis-lazuli-combinations,Evaluation,"Which crystals pair well with Lapis Lazuli, for which goals, and which pairings to avoid?",lapis-lazuli,new,P2,draft,6 Gemstone Sub-pages
P-0043,/gemstones/lapis-lazuli/affirmations,Node,M1 Stone Atlas,S1.8 affirmations,INT-lapis-lazuli-affirmations,Instruction,Which affirmations suit Lapis Lazuli and how do I use them with the stone?,lapis-lazuli,new,P2,draft,6 Gemstone Sub-pages
P-0044,/gemstones/black-tourmaline/who-should-not-wear,Node,M1 Stone Atlas,S1.2 who-should-not-wear,INT-black-tourmaline-who-should-not-wear,Evaluation,"Who should be cautious about wearing Black Tourmaline, and why (physical safety, tradition, astrology)?",black-tourmaline,new,P2,draft,6 Gemstone Sub-pages
P-0045,/gemstones/black-onyx/how-to-cleanse,Node,M1 Stone Atlas,S1.6 how-to-cleanse,INT-black-onyx-how-to-cleanse,Instruction,How do I cleanse and recharge Black Onyx without damaging it?,black-onyx,new,P2,draft,6 Gemstone Sub-pages
P-0046,/gemstones/peridot/meaning,Node,M1 Stone Atlas,S1.1 meaning,INT-peridot-meaning,Explanation,"What does Peridot mean, what is it, and what is it traditionally used for?",peridot,new,P2,draft,6 Gemstone Sub-pages
P-0047,/gemstones/garnet/how-to-cleanse,Node,M1 Stone Atlas,S1.6 how-to-cleanse,INT-garnet-how-to-cleanse,Instruction,How do I cleanse and recharge Garnet without damaging it?,garnet,new,P2,draft,6 Gemstone Sub-pages
P-0048,/gemstones/garnet/sleeping-with,Node,M1 Stone Atlas,S1.5 sleeping-with,INT-garnet-sleeping-with,Explanation,"Is it sensible to sleep with Garnet under the pillow or by the bed, and how is it done?",garnet,new,P2,draft,6 Gemstone Sub-pages
P-0049,/gemstones/garnet/how-to-identify,Node,M1 Stone Atlas,S1.4 how-to-identify,INT-garnet-how-to-identify,Instruction,"How do I tell real Garnet from fakes, glass, dyed or imitation material?",garnet,new,P2,draft,6 Gemstone Sub-pages
P-0050,/gemstones/garnet/price-guide,Node,M1 Stone Atlas,S1.9 price-guide,INT-garnet-price-guide,Explanation,"How much does Garnet cost, what drives its price, and how do I avoid overpaying?",garnet,new,P2,draft,6 Gemstone Sub-pages
P-0051,/gemstones/garnet/combinations,Node,M1 Stone Atlas,S1.7 combinations,INT-garnet-combinations,Evaluation,"Which crystals pair well with Garnet, for which goals, and which pairings to avoid?",garnet,new,P2,draft,6 Gemstone Sub-pages
P-0052,/gemstones/garnet/affirmations,Node,M1 Stone Atlas,S1.8 affirmations,INT-garnet-affirmations,Instruction,Which affirmations suit Garnet and how do I use them with the stone?,garnet,new,P2,draft,6 Gemstone Sub-pages
P-0053,/gemstones/black-onyx/sleeping-with,Node,M1 Stone Atlas,S1.5 sleeping-with,INT-black-onyx-sleeping-with,Explanation,"Is it sensible to sleep with Black Onyx under the pillow or by the bed, and how is it done?",black-onyx,new,P2,draft,6 Gemstone Sub-pages
P-0054,/gemstones/black-onyx/how-to-identify,Node,M1 Stone Atlas,S1.4 how-to-identify,INT-black-onyx-how-to-identify,Instruction,"How do I tell real Black Onyx from fakes, glass, dyed or imitation material?",black-onyx,new,P2,draft,6 Gemstone Sub-pages
P-0055,/gemstones/black-onyx/price-guide,Node,M1 Stone Atlas,S1.9 price-guide,INT-black-onyx-price-guide,Explanation,"How much does Black Onyx cost, what drives its price, and how do I avoid overpaying?",black-onyx,new,P2,draft,6 Gemstone Sub-pages
P-0056,/gemstones/black-onyx/combinations,Node,M1 Stone Atlas,S1.7 combinations,INT-black-onyx-combinations,Evaluation,"Which crystals pair well with Black Onyx, for which goals, and which pairings to avoid?",black-onyx,new,P2,draft,6 Gemstone Sub-pages
P-0057,/gemstones/black-onyx/affirmations,Node,M1 Stone Atlas,S1.8 affirmations,INT-black-onyx-affirmations,Instruction,Which affirmations suit Black Onyx and how do I use them with the stone?,black-onyx,new,P2,draft,6 Gemstone Sub-pages
P-0058,/gemstones/aquamarine/meaning,Node,M1 Stone Atlas,S1.1 meaning,INT-aquamarine-meaning,Explanation,"What does Aquamarine mean, what is it, and what is it traditionally used for?",aquamarine,new,P2,draft,6 Gemstone Sub-pages
P-0059,/gemstones/aquamarine/how-to-cleanse,Node,M1 Stone Atlas,S1.6 how-to-cleanse,INT-aquamarine-how-to-cleanse,Instruction,How do I cleanse and recharge Aquamarine without damaging it?,aquamarine,new,P2,draft,6 Gemstone Sub-pages
P-0060,/gemstones/aquamarine/sleeping-with,Node,M1 Stone Atlas,S1.5 sleeping-with,INT-aquamarine-sleeping-with,Explanation,"Is it sensible to sleep with Aquamarine under the pillow or by the bed, and how is it done?",aquamarine,new,P2,draft,6 Gemstone Sub-pages
P-0061,/gemstones/aquamarine/how-to-identify,Node,M1 Stone Atlas,S1.4 how-to-identify,INT-aquamarine-how-to-identify,Instruction,"How do I tell real Aquamarine from fakes, glass, dyed or imitation material?",aquamarine,new,P2,draft,6 Gemstone Sub-pages
P-0062,/gemstones/aquamarine/price-guide,Node,M1 Stone Atlas,S1.9 price-guide,INT-aquamarine-price-guide,Explanation,"How much does Aquamarine cost, what drives its price, and how do I avoid overpaying?",aquamarine,new,P2,draft,6 Gemstone Sub-pages
P-0063,/gemstones/aquamarine/combinations,Node,M1 Stone Atlas,S1.7 combinations,INT-aquamarine-combinations,Evaluation,"Which crystals pair well with Aquamarine, for which goals, and which pairings to avoid?",aquamarine,new,P2,draft,6 Gemstone Sub-pages
P-0064,/gemstones/aquamarine/affirmations,Node,M1 Stone Atlas,S1.8 affirmations,INT-aquamarine-affirmations,Instruction,Which affirmations suit Aquamarine and how do I use them with the stone?,aquamarine,new,P2,draft,6 Gemstone Sub-pages
P-0065,/gemstones/black-tourmaline/how-to-cleanse,Node,M1 Stone Atlas,S1.6 how-to-cleanse,INT-black-tourmaline-how-to-cleanse,Instruction,How do I cleanse and recharge Black Tourmaline without damaging it?,black-tourmaline,new,P2,draft,6 Gemstone Sub-pages
P-0066,/gemstones/black-tourmaline/how-to-identify,Node,M1 Stone Atlas,S1.4 how-to-identify,INT-black-tourmaline-how-to-identify,Instruction,"How do I tell real Black Tourmaline from fakes, glass, dyed or imitation material?",black-tourmaline,new+absorb legacy,P2,draft,6 Gemstone Sub-pages
P-0067,/gemstones/black-tourmaline/price-guide,Node,M1 Stone Atlas,S1.9 price-guide,INT-black-tourmaline-price-guide,Explanation,"How much does Black Tourmaline cost, what drives its price, and how do I avoid overpaying?",black-tourmaline,new,P2,draft,6 Gemstone Sub-pages
P-0068,/gemstones/black-tourmaline/combinations,Node,M1 Stone Atlas,S1.7 combinations,INT-black-tourmaline-combinations,Evaluation,"Which crystals pair well with Black Tourmaline, for which goals, and which pairings to avoid?",black-tourmaline,new,P2,draft,6 Gemstone Sub-pages
P-0069,/gemstones/black-tourmaline/affirmations,Node,M1 Stone Atlas,S1.8 affirmations,INT-black-tourmaline-affirmations,Instruction,Which affirmations suit Black Tourmaline and how do I use them with the stone?,black-tourmaline,new,P2,draft,6 Gemstone Sub-pages
P-0070,/gemstones/peridot/price-guide,Node,M1 Stone Atlas,S1.9 price-guide,INT-peridot-price-guide,Explanation,"How much does Peridot cost, what drives its price, and how do I avoid overpaying?",peridot,new,P2,draft,6 Gemstone Sub-pages
P-0071,/gemstones/peridot/how-to-cleanse,Node,M1 Stone Atlas,S1.6 how-to-cleanse,INT-peridot-how-to-cleanse,Instruction,How do I cleanse and recharge Peridot without damaging it?,peridot,new,P2,draft,6 Gemstone Sub-pages
P-0072,/gemstones/peridot/can-go-in-water,Node,M1 Stone Atlas,S1.3 can-go-in-water,INT-peridot-can-go-in-water,Explanation,"Can Peridot go in water safely, and how should it be cleaned without damage?",peridot,new,P2,draft,6 Gemstone Sub-pages
P-0073,/gemstones/peridot/sleeping-with,Node,M1 Stone Atlas,S1.5 sleeping-with,INT-peridot-sleeping-with,Explanation,"Is it sensible to sleep with Peridot under the pillow or by the bed, and how is it done?",peridot,new,P2,draft,6 Gemstone Sub-pages
P-0074,/gemstones/peridot/how-to-identify,Node,M1 Stone Atlas,S1.4 how-to-identify,INT-peridot-how-to-identify,Instruction,"How do I tell real Peridot from fakes, glass, dyed or imitation material?",peridot,new,P2,draft,6 Gemstone Sub-pages
P-0075,/gemstones/peridot/combinations,Node,M1 Stone Atlas,S1.7 combinations,INT-peridot-combinations,Evaluation,"Which crystals pair well with Peridot, for which goals, and which pairings to avoid?",peridot,new,P2,draft,6 Gemstone Sub-pages
P-0076,/gemstones/peridot/affirmations,Node,M1 Stone Atlas,S1.8 affirmations,INT-peridot-affirmations,Instruction,Which affirmations suit Peridot and how do I use them with the stone?,peridot,new,P2,draft,6 Gemstone Sub-pages
P-0077,/gemstones/turquoise/how-to-cleanse,Node,M1 Stone Atlas,S1.6 how-to-cleanse,INT-turquoise-how-to-cleanse,Instruction,How do I cleanse and recharge Turquoise without damaging it?,turquoise,new,P2,draft,6 Gemstone Sub-pages
P-0078,/gemstones/turquoise/can-go-in-water,Node,M1 Stone Atlas,S1.3 can-go-in-water,INT-turquoise-can-go-in-water,Explanation,"Can Turquoise go in water safely, and how should it be cleaned without damage?",turquoise,new,P2,draft,6 Gemstone Sub-pages
P-0079,/gemstones/turquoise/sleeping-with,Node,M1 Stone Atlas,S1.5 sleeping-with,INT-turquoise-sleeping-with,Explanation,"Is it sensible to sleep with Turquoise under the pillow or by the bed, and how is it done?",turquoise,new,P2,draft,6 Gemstone Sub-pages
P-0080,/gemstones/turquoise/meaning,Node,M1 Stone Atlas,S1.1 meaning,INT-turquoise-meaning,Explanation,"What does Turquoise mean, what is it, and what is it traditionally used for?",turquoise,new,P2,draft,6 Gemstone Sub-pages
P-0081,/gemstones/turquoise/how-to-identify,Node,M1 Stone Atlas,S1.4 how-to-identify,INT-turquoise-how-to-identify,Instruction,"How do I tell real Turquoise from fakes, glass, dyed or imitation material?",turquoise,new,P2,draft,6 Gemstone Sub-pages
P-0082,/gemstones/turquoise/price-guide,Node,M1 Stone Atlas,S1.9 price-guide,INT-turquoise-price-guide,Explanation,"How much does Turquoise cost, what drives its price, and how do I avoid overpaying?",turquoise,new,P2,draft,6 Gemstone Sub-pages
P-0083,/gemstones/turquoise/combinations,Node,M1 Stone Atlas,S1.7 combinations,INT-turquoise-combinations,Evaluation,"Which crystals pair well with Turquoise, for which goals, and which pairings to avoid?",turquoise,new,P2,draft,6 Gemstone Sub-pages
P-0084,/gemstones/turquoise/affirmations,Node,M1 Stone Atlas,S1.8 affirmations,INT-turquoise-affirmations,Instruction,Which affirmations suit Turquoise and how do I use them with the stone?,turquoise,new,P2,draft,6 Gemstone Sub-pages
P-0085,/gemstones/moldavite/how-to-cleanse,Node,M1 Stone Atlas,S1.6 how-to-cleanse,INT-moldavite-how-to-cleanse,Instruction,How do I cleanse and recharge Moldavite without damaging it?,moldavite,new,P2,draft,6 Gemstone Sub-pages
P-0086,/gemstones/black-obsidian/can-go-in-water,Node,M1 Stone Atlas,S1.3 can-go-in-water,INT-black-obsidian-can-go-in-water,Explanation,"Can Black Obsidian go in water safely, and how should it be cleaned without damage?",black-obsidian,new,P2,draft,6 Gemstone Sub-pages
P-0087,/gemstones/obsidian/how-to-cleanse,Node,M1 Stone Atlas,S1.6 how-to-cleanse,INT-obsidian-how-to-cleanse,Instruction,How do I cleanse and recharge Obsidian without damaging it?,obsidian,new,P2,draft,6 Gemstone Sub-pages
P-0088,/gemstones/aventurine/how-to-cleanse,Node,M1 Stone Atlas,S1.6 how-to-cleanse,INT-aventurine-how-to-cleanse,Instruction,How do I cleanse and recharge Aventurine without damaging it?,aventurine,new,P2,draft,6 Gemstone Sub-pages
P-0089,/gemstones/larvikite/who-should-not-wear,Node,M1 Stone Atlas,S1.2 who-should-not-wear,INT-larvikite-who-should-not-wear,Evaluation,"Who should be cautious about wearing Larvikite, and why (physical safety, tradition, astrology)?",larvikite,new,P2,draft,6 Gemstone Sub-pages
P-0090,/gemstones/larvikite/how-to-cleanse,Node,M1 Stone Atlas,S1.6 how-to-cleanse,INT-larvikite-how-to-cleanse,Instruction,How do I cleanse and recharge Larvikite without damaging it?,larvikite,new,P2,draft,6 Gemstone Sub-pages
P-0091,/gemstones/larvikite/can-go-in-water,Node,M1 Stone Atlas,S1.3 can-go-in-water,INT-larvikite-can-go-in-water,Explanation,"Can Larvikite go in water safely, and how should it be cleaned without damage?",larvikite,new,P2,draft,6 Gemstone Sub-pages
P-0092,/gemstones/larvikite/sleeping-with,Node,M1 Stone Atlas,S1.5 sleeping-with,INT-larvikite-sleeping-with,Explanation,"Is it sensible to sleep with Larvikite under the pillow or by the bed, and how is it done?",larvikite,new,P2,draft,6 Gemstone Sub-pages
P-0093,/gemstones/larvikite/how-to-identify,Node,M1 Stone Atlas,S1.4 how-to-identify,INT-larvikite-how-to-identify,Instruction,"How do I tell real Larvikite from fakes, glass, dyed or imitation material?",larvikite,new,P3,draft,6 Gemstone Sub-pages
P-0094,/gemstones/larvikite/price-guide,Node,M1 Stone Atlas,S1.9 price-guide,INT-larvikite-price-guide,Explanation,"How much does Larvikite cost, what drives its price, and how do I avoid overpaying?",larvikite,new,P3,draft,6 Gemstone Sub-pages
P-0095,/gemstones/larvikite/combinations,Node,M1 Stone Atlas,S1.7 combinations,INT-larvikite-combinations,Evaluation,"Which crystals pair well with Larvikite, for which goals, and which pairings to avoid?",larvikite,new,P3,draft,6 Gemstone Sub-pages
P-0096,/gemstones/larvikite/affirmations,Node,M1 Stone Atlas,S1.8 affirmations,INT-larvikite-affirmations,Instruction,Which affirmations suit Larvikite and how do I use them with the stone?,larvikite,new,P3,draft,6 Gemstone Sub-pages
P-0097,/gemstones/diamond/how-to-identify,Node,M1 Stone Atlas,S1.4 how-to-identify,INT-diamond-how-to-identify,Instruction,"How do I tell real Diamond from fakes, glass, dyed or imitation material?",diamond,new,P3,draft,6 Gemstone Sub-pages
P-0098,/gemstones/labradorite/who-should-not-wear,Node,M1 Stone Atlas,S1.2 who-should-not-wear,INT-labradorite-who-should-not-wear,Evaluation,"Who should be cautious about wearing Labradorite, and why (physical safety, tradition, astrology)?",labradorite,new,P3,draft,6 Gemstone Sub-pages
P-0099,/gemstones/labradorite/how-to-cleanse,Node,M1 Stone Atlas,S1.6 how-to-cleanse,INT-labradorite-how-to-cleanse,Instruction,How do I cleanse and recharge Labradorite without damaging it?,labradorite,new,P3,draft,6 Gemstone Sub-pages
P-0100,/gemstones/labradorite/sleeping-with,Node,M1 Stone Atlas,S1.5 sleeping-with,INT-labradorite-sleeping-with,Explanation,"Is it sensible to sleep with Labradorite under the pillow or by the bed, and how is it done?",labradorite,new,P3,draft,6 Gemstone Sub-pages
P-0101,/gemstones/labradorite/how-to-identify,Node,M1 Stone Atlas,S1.4 how-to-identify,INT-labradorite-how-to-identify,Instruction,"How do I tell real Labradorite from fakes, glass, dyed or imitation material?",labradorite,new,P3,draft,6 Gemstone Sub-pages
P-0102,/gemstones/labradorite/price-guide,Node,M1 Stone Atlas,S1.9 price-guide,INT-labradorite-price-guide,Explanation,"How much does Labradorite cost, what drives its price, and how do I avoid overpaying?",labradorite,new,P3,draft,6 Gemstone Sub-pages
P-0103,/gemstones/labradorite/combinations,Node,M1 Stone Atlas,S1.7 combinations,INT-labradorite-combinations,Evaluation,"Which crystals pair well with Labradorite, for which goals, and which pairings to avoid?",labradorite,new,P3,draft,6 Gemstone Sub-pages
P-0104,/gemstones/labradorite/affirmations,Node,M1 Stone Atlas,S1.8 affirmations,INT-labradorite-affirmations,Instruction,Which affirmations suit Labradorite and how do I use them with the stone?,labradorite,new,P3,draft,6 Gemstone Sub-pages
P-0105,/gemstones/cats-eye/meaning,Node,M1 Stone Atlas,S1.1 meaning,INT-cats-eye-meaning,Explanation,"What does Cat's Eye mean, what is it, and what is it traditionally used for?",cats-eye,new,P3,draft,6 Gemstone Sub-pages
P-0106,/gemstones/opalite/how-to-cleanse,Node,M1 Stone Atlas,S1.6 how-to-cleanse,INT-opalite-how-to-cleanse,Instruction,How do I cleanse and recharge Opalite without damaging it?,opalite,new,P3,draft,6 Gemstone Sub-pages
P-0107,/gemstones/malachite/how-to-cleanse,Node,M1 Stone Atlas,S1.6 how-to-cleanse,INT-malachite-how-to-cleanse,Instruction,How do I cleanse and recharge Malachite without damaging it?,malachite,new,P3,draft,6 Gemstone Sub-pages
P-0108,/gemstones/aventurine/who-should-not-wear,Node,M1 Stone Atlas,S1.2 who-should-not-wear,INT-aventurine-who-should-not-wear,Evaluation,"Who should be cautious about wearing Aventurine, and why (physical safety, tradition, astrology)?",aventurine,new,P3,draft,6 Gemstone Sub-pages
P-0109,/gemstones/aventurine/how-to-identify,Node,M1 Stone Atlas,S1.4 how-to-identify,INT-aventurine-how-to-identify,Instruction,"How do I tell real Aventurine from fakes, glass, dyed or imitation material?",aventurine,new,P3,draft,6 Gemstone Sub-pages
P-0110,/gemstones/aventurine/price-guide,Node,M1 Stone Atlas,S1.9 price-guide,INT-aventurine-price-guide,Explanation,"How much does Aventurine cost, what drives its price, and how do I avoid overpaying?",aventurine,new,P3,draft,6 Gemstone Sub-pages
P-0111,/gemstones/aventurine/combinations,Node,M1 Stone Atlas,S1.7 combinations,INT-aventurine-combinations,Evaluation,"Which crystals pair well with Aventurine, for which goals, and which pairings to avoid?",aventurine,new,P3,draft,6 Gemstone Sub-pages
